length	config	time
9.07261	67.8213	2.785
7.84656	67.8708	0.716
12.0766	74.0334	1.301
8.41837	52.1763	2.092
8.20786	47.3475	0.58
7.2333	49.6827	2.582
13.0764	74.8864	3.598
7.9204	69.3181	0.714
10.5797	54.9066	5.694
7.60115	51.5209	0.728
5.81594	40.6263	0.744
4.22132	33.8024	1.94
6.2612	59.3983	1.19
5.1083	47.0491	1.204
10.0882	77.4617	0.417
8.1126	44.3456	2.443
5.76719	50.4846	0.254
10.5617	72.3779	0.636
9.76777	55.3914	0.777
4.96013	52.6108	0.263
9.0568	67.8262	0.96
9.1934	76.2023	0.919
8.37589	61.5136	0.703
9.20014	50.3456	5.455
9.74815	54.736	1.644
7.88973	67.7072	2.728
5.38978	46.0977	4.112
8.82927	54.249	1.636
8.57928	73.0501	0.751
8.88298	50.1975	0.541
12.009	82.2769	2.874
6.63007	50.5956	0.442
7.82466	48.0755	0.719
10.7892	58.6939	3.121
5.06444	38.8417	0.638
8.01957	55.2799	0.395
7.07017	47.2262	0.381
8.66879	67.1718	1.35
10.9101	67.0905	2.255
9.6702	55.5287	3.195
11.5819	64.8804	0.744
8.94988	71.0123	3.959
9.8545	54.8744	0.531
7.34554	53.6984	3.963
10.0124	75.8554	1.214
8.36815	64.6053	1.488
6.98049	59.0074	0.893
10.9768	80.8218	0.716
12.3322	61.5981	0.682
8.55902	58.7107	0.439
