length	config	time
8.89379	48.7762	0.15
10.786	45.5767	0.325
7.1959	37.2931	0.83
8.4854	39.6537	0.269
10.7418	47.7179	1.528
7.75307	35.3444	0.763
11.4788	64.4856	2.042
8.92961	35.9682	1.123
11.5373	47.0885	0.988
8.54274	39.0492	0.103
9.80669	47.2069	0.708
12.9102	63.3798	0.961
9.82683	46.2255	1.713
7.58852	30.8048	0.14
7.63227	35.1794	0.252
7.03551	32.3975	0.11
8.19337	42.4985	0.343
10.798	57.6451	2.047
8.9393	51.3414	0.343
9.97798	50.0359	0.206
8.64774	40.9132	0.101
8.93182	51.6832	0.247
8.18942	39.97	0.762
9.10302	52.2251	1.29
8.00221	45.9589	1.251
9.23219	44.3461	0.418
8.09882	39.8433	0.906
10.0607	52.4032	0.607
7.26072	40.5332	0.957
9.8414	43.7146	2.005
11.5102	62.5699	1.193
9.78013	50.5717	0.266
9.41358	61.4725	3.598
9.80658	43.1363	0.368
9.38004	51.8601	0.941
7.38864	37.8821	0.571
8.09598	51.0907	0.321
8.65584	39.7677	0.261
7.6402	40.0323	1.91
7.83567	35.9675	0.352
8.1965	44.65	3.041
7.97563	42.2285	0.504
10.5618	50.3189	0.599
7.41923	32.0293	0.163
9.8378	51.8757	0.995
10.6789	55.2679	0.621
9.01997	48.4859	0.445
9.4695	50.8286	0.138
9.34294	41.3508	0.613
7.91743	47.6196	0.846
