length	config	time
7.35062	47.9931	1.049
9.20132	53.2004	0.074
8.07294	51.8452	0.375
9.23266	62.4522	1.523
12.4326	64.8777	0.485
6.94394	48.2496	0.682
13.4706	70.7279	1.632
7.23043	43.9851	0.449
9.01307	49.3349	0.407
8.91803	57.5546	2.532
8.07091	53.3769	1.99
10.605	53.575	0.669
8.1212	45.322	0.186
9.67715	52.1488	0.754
6.71729	43.0953	0.088
7.78121	46.6432	0.609
11.1226	66.0208	1.098
9.66847	42.1441	0.132
7.37012	44.5303	0.306
7.30582	41.367	0.137
10.6278	52.8791	0.69
7.71395	38.9525	0.189
6.43444	32.7359	0.119
10.8834	65.3345	0.42
5.32877	36.6155	1.884
7.29839	39.6294	0.094
6.31235	56.5452	0.218
6.17003	39.8812	0.735
9.33046	51.4445	0.489
6.24571	42.6464	0.43
10.8723	50.8485	1.584
9.33983	47.4527	0.538
7.06761	31.2338	0.036
8.94538	50.5634	2.699
7.76063	45.7694	0.46
7.45037	44.4057	0.92
11.718	79.6732	1.29
7.90215	42.3174	0.325
10.5177	63.088	0.121
8.48929	59.9548	0.749
10.1733	61.5203	0.376
7.78357	40.6755	0.082
7.78069	48.0429	0.798
8.06272	48.0874	1.052
10.702	58.1836	1.441
8.09986	43.4829	0.309
7.8665	44.6203	1.121
10.0664	52.5324	0.406
8.80884	46.8909	0.617
7.72179	48.5485	0.083
