length	config	time
11.1541	70.0826	0.847
11.2913	68.9823	3.656
8.67594	60.2391	0.298
7.81016	67.2952	2.583
6.38138	47.3917	2.085
6.7054	55.8642	0.78
7.6657	40.275	0.416
7.99202	49.3589	0.388
6.34955	36.4435	0.251
11.8654	71.8482	0.536
8.80757	53.3213	2.112
9.61502	58.683	3.763
8.63627	47.5724	1.732
6.2447	33.8393	0.206
6.92118	44.1785	0.396
8.09283	51.2594	2.551
9.67915	60.9521	0.822
9.29748	57.5869	1.041
10.4377	60.4644	0.773
7.51	37.9488	1.409
9.00058	48.0041	0.075
8.77916	58.182	0.657
6.87737	38.5901	0.968
9.47381	60.5017	2.394
11.8013	66.3842	1.309
7.15878	39.6095	0.035
7.83986	57.0116	0.475
11.1633	51.8007	1.311
8.2176	50.9109	1.038
8.27023	57.1692	0.217
10.4833	58.7675	1.216
6.52037	52.7	0.486
9.26805	71.0843	0.433
7.72154	52.1857	0.94
9.46801	55.0414	1.066
7.99205	53.839	1.355
9.30194	58.9298	0.37
5.07734	34.6371	2.92
6.61393	45.9446	0.693
8.5313	50.6347	0.878
8.3386	52.5737	2.031
8.93102	59.5893	1.009
11.9103	66.7564	1.508
9.2567	59.6255	0.376
7.57257	47.2066	0.17
5.98056	34.4883	0.099
10.4856	54.1197	0.761
9.23744	60.7761	1.868
6.48157	42.5878	0.923
7.81054	53.3637	0.956
