length	config	time
8.49354	56.2126	0.507
6.96371	51.664	0.469
8.85391	63.1997	0.216
6.9312	41.0715	0.091
6.91093	42.2891	0.9
9.33469	71.1694	2.158
7.02954	50.1962	0.766
7.19948	40.7051	0.127
7.35034	45.697	0.282
10.2222	55.0098	1.447
8.20716	56.5812	0.069
9.20152	54.8243	0.098
7.11688	53.4103	1.774
6.51363	56.1729	0.535
5.52521	32.1995	0.017
7.27552	40.001	0.32
10.0242	64.9168	0.971
9.90017	49.7019	1.656
11.7962	72.4654	0.85
8.56073	51.6402	0.766
8.7206	51.6756	0.901
8.46707	46.4637	1.254
6.06815	54.8583	2.05
8.56986	66.3904	0.356
6.09294	27.2727	0.015
6.26374	48.384	0.611
6.86533	42.7205	0.121
8.96368	51.7522	2.4
8.76281	51.0012	1.29
11.4978	76.6664	1.973
8.21751	48.973	0.445
6.59901	29.3963	0.042
6.10556	37.2398	0.121
8.70577	50.1715	0.318
11.6678	71.7715	0.382
8.9903	55.9701	0.248
8.65285	48.0725	2.08
7.43994	68.7098	1.613
13.4923	62.4165	3.158
8.27392	70.4291	3.382
10.9229	62.1924	0.52
6.24569	36.064	0.146
8.05954	49.8215	0.166
10.0749	59.0922	0.181
7.57767	49.5849	0.153
11.3474	75.1955	1.32
8.70358	61.8709	0.557
9.88749	61.166	0.405
8.33763	51.6406	1.86
9.9247	54.9601	0.402
