length	config	time
8.31583	64.8858	1.904
6.9895	45.5119	0.336
8.6871	45.5858	3.518
6.88945	46.3399	0.243
7.24401	47.612	0.319
7.12307	43.5471	1.365
6.1568	40.3808	0.062
8.19784	43.9607	2.615
7.35797	61.0121	0.707
5.98133	49.5014	0.142
8.43259	47.7496	0.792
7.7166	57.4673	3.977
7.9292	43.4287	0.523
5.12519	41.279	0.255
7.27585	56.668	1.469
6.71671	49.8746	0.562
9.3216	55.9693	0.296
5.29074	36.0465	0.132
11.7071	63.6519	1.439
6.91607	43.6734	0.043
6.1873	37.7296	0.097
7.79227	52.3401	0.611
7.9499	48.3044	0.232
9.25662	54.7777	1.645
8.04815	55.328	0.116
11.8003	75.3938	3.519
8.57499	54.8296	0.428
6.94017	54.9503	1.033
6.74412	37.1543	1.201
8.81785	65.624	1.225
8.24771	53.8053	1.016
11.8401	70.5408	0.253
5.88322	53.7375	1.147
8.34227	59.5622	0.335
8.63923	58.8836	3.032
8.19369	68.0258	1.007
8.55217	51.5078	0.286
5.65257	46.3421	1.206
8.54818	54.9931	0.86
7.48408	59.1788	1.449
10.4721	62.7161	4.599
5.09972	32.1432	0.119
8.7208	52.5729	0.302
9.4248	59.5008	1.203
12.519	74.6473	2.27
8.37358	60.5585	0.151
8.73852	59.8097	0.758
7.46125	50.562	0.083
8.04072	48.8006	0.461
6.6771	42.4475	1.149
