length	config	time
8.13149	44.6516	0.16
7.90204	41.6226	0.139
9.83751	45.2294	2.788
10.0296	57.6966	0.98
9.96257	51.6885	0.34
8.59036	39.1341	0.144
10.8204	54.2536	0.562
9.57954	50.2168	0.817
7.38241	33.3288	0.204
10.4815	62.8922	0.614
6.78185	34.1664	0.43
8.2942	40.4975	1.179
11.5923	56.7883	0.349
9.92923	52.7351	1.793
8.96289	45.7099	0.501
7.70958	38.8185	0.122
9.12858	47.0604	0.542
9.68541	48.0956	0.995
8.88819	49.3196	0.408
8.57036	41.0389	0.255
11.3107	51.7952	0.276
10.0699	54.4508	0.58
11.5242	58.9746	0.869
8.3415	42.1461	2.178
8.47255	42.5865	0.094
9.54338	43.6565	0.529
13.3743	79.7316	1.762
10.3911	52.6485	0.244
9.65651	46.1248	1.207
8.35348	38.8458	0.856
8.21091	55.2755	0.684
9.68211	52.1619	1.044
7.81372	49.4646	1.848
7.59012	39.1825	0.374
10.9588	50.3943	3.78
7.9045	37.7222	0.772
6.42877	31.9524	0.842
9.29522	44.3241	1.7
9.50822	49.0284	0.401
10.9726	60.6906	0.942
12.5743	54.9232	0.924
7.66102	36.4519	0.293
8.10976	43.2752	0.82
6.18484	36.9889	0.803
9.69497	50.0246	0.734
10.1468	53.2764	0.917
9.21213	48.5973	0.851
8.249	39.7205	0.727
10.4387	54.6977	1.76
10.6082	51.4187	0.444
