length	config	time
9.67732	64.6146	0.582
7.76527	39.8976	0.303
9.73845	64.6861	1.316
10.7424	66.3665	3.77
7.64521	41.2517	0.853
11.7032	82.1632	1.195
12.0622	57.6024	0.82
10.1501	69.8906	0.765
7.38671	47.1002	0.676
8.16413	57.0506	0.433
9.56898	54.8267	0.776
7.75098	46.3073	0.187
7.82304	48.9174	0.395
10.6927	56.8681	1.448
7.9977	54.9957	1.241
7.01333	46.6914	0.458
7.07473	43.8477	1.06
7.98169	57.8304	0.677
7.11695	47.1133	0.754
9.50132	45.7165	0.109
9.74499	62.9273	2.654
11.2205	54.6281	1.52
8.63238	50.6101	0.938
7.63344	58.495	0.409
11.3291	82.9539	2.369
6.73922	44.7393	0.542
9.85447	48.7001	1.401
13.694	70.8508	2.718
6.57037	44.5672	0.612
9.56469	44.6263	0.145
8.56178	55.6887	0.351
8.23409	46.2578	0.513
8.62852	48.1423	0.265
6.51886	35.8319	0.051
9.51381	55.3268	0.342
6.26898	47.1038	0.224
11.0951	51.5875	2.293
7.98972	47.0658	0.608
6.84852	50.5332	0.263
9.28206	58.0047	1.689
10.4476	59.7559	0.384
7.83532	41.0024	0.31
8.77819	53.2456	0.539
10.1588	55.4149	1.045
7.32833	53.5196	1.947
9.01421	57.6084	1.255
11.0006	58.1019	2.703
9.40259	48.8998	0.59
11.9462	65.0406	0.796
10.0164	54.5091	1.547
