length	config	time
7.4432	44.7258	0.99
9.27558	52.3195	0.709
8.40242	58.1438	0.459
7.63919	54.6168	0.503
8.79946	60.5345	4.427
7.46668	50.1794	0.348
9.04232	48.5642	0.403
8.35776	48.4122	1.027
7.55928	44.9416	2.055
10.9025	65.3031	0.203
6.45421	36.5176	1.087
8.43944	46.4897	0.834
11.2526	65.9727	0.605
6.94964	45.8491	0.264
9.97203	58.4498	0.148
10.4799	63.0344	3.472
9.3342	46.2483	0.204
8.23969	50.9813	0.19
9.39266	65.8664	0.781
6.23658	37.1526	0.063
6.48943	34.9295	0.102
9.82876	69.5947	0.227
6.74409	45.4399	0.088
9.06541	63.4816	0.149
12.8375	55.6652	0.543
8.37009	39.1825	0.443
10.3051	63.6019	0.833
9.77856	54.0294	1.143
5.82338	37.9378	0.56
6.02637	31.6091	0.627
10.961	59.7869	1.019
8.09743	43.2954	0.461
10.9157	70.6008	0.29
7.44874	45.747	0.113
7.73624	53.132	0.796
9.0268	46.7719	1.62
11.0272	61.2871	1.153
7.52987	64.2369	0.984
5.69285	42.1636	1.399
6.33141	50.8077	0.211
8.86928	60.2704	0.168
8.68123	52.3592	0.384
7.98825	45.833	0.369
7.42571	47.3371	1.985
7.99981	43.9854	0.781
7.22396	41.3884	5.204
9.1733	59.391	0.579
8.07985	55.0966	1.88
12.0491	64.8106	0.237
10.8762	68.5036	0.203
