length	config	time
11.3954	74.5241	1.107
8.058	55.4511	0.34
11.191	85.7548	12.048
6.87086	60.3314	3.79
5.14942	44.0635	3.385
5.68128	37.2466	2.141
13.4123	75.442	0.869
7.6333	57.4007	3.75
7.91118	69.9221	3.076
4.54013	51.0597	2.516
8.66098	90.6826	3.773
10.3895	74.4162	4.114
10.266	70.3307	2.057
5.37511	43.7788	0.772
8.13271	74.7679	1.568
9.00327	70.7102	2.784
9.92544	74.1261	2.526
10.6967	63.3493	2.556
8.16758	64.2641	2.143
6.25126	46.9632	0.759
8.53154	86.0668	2.63
6.90828	57.5143	1.697
4.33013	36.9634	1.228
8.09964	62.0775	1.577
5.80504	46.8028	3.618
9.48132	68.2597	0.951
11.0556	41.2169	9.152
17.7548	88.4026	1.336
7.70205	75.2367	0.485
8.2324	50.5848	0.243
5.14949	45.0744	2.98
9.02544	65.9603	1.267
11.7567	74.0443	3.111
11.3409	71.9126	1.945
5.80711	61.6354	1.681
10.961	73.3587	1.743
6.91882	67.7559	1.822
10.7865	70.059	5.489
5.46674	46.4606	1.766
5.49273	45.0025	1.25
5.97529	54.0684	2.606
8.72704	65.043	0.263
7.5062	58.6978	3.981
10.9918	80.1821	5.389
8.24716	63.8546	8.414
8.52435	63.4744	2.18
7.17854	51.5992	4.315
7.0694	43.8212	1.52
5.80796	69.9457	2.854
10.5958	70.6666	0.845
