length	config	time
7.22132	58.0102	2.142
6.66364	47.3299	4.657
7.37137	72.4462	2.712
6.29587	55.2273	5.591
9.52843	64.087	1.137
8.4319	79.2152	2.225
8.81366	63.4251	2.263
8.37519	75.6242	1.325
8.5006	58.2868	5.154
7.06847	62.8699	2.416
8.84613	58.6767	0.797
6.41449	49.1122	1.074
7.8774	69.2146	2.575
7.15054	56.5997	2.591
6.82571	60.2634	0.498
6.1796	37.3959	1.532
8.88987	60.5537	1.894
5.55605	50.2288	0.661
10.7755	73.494	4.237
8.03666	75.9313	2.701
5.37011	42.9741	0.104
8.9965	50.7633	0.624
4.94793	34.4595	0.14
7.39981	46.9379	1.463
10.4228	75.2769	4.028
9.5049	61.6938	3.009
7.16043	54.0524	0.688
6.79021	48.1867	0.524
8.01786	56.2406	1.369
7.35734	62.5442	2.425
9.99297	65.1532	0.415
6.54382	53.0917	7.489
8.74257	81.0497	2.212
5.59979	45.4352	1.73
8.27139	55.0025	3.077
6.64473	55.678	3.334
6.6425	65.6532	0.586
7.28548	58.1678	1.493
11.657	85.7599	1.66
6.0867	47.4304	0.915
5.69229	55.8945	0.374
7.80634	49.7906	2.097
7.12601	58.3945	2.331
11.5135	77.0519	2.982
6.18297	56.1039	6.838
6.4815	54.7913	1.259
7.38513	54.7788	3.113
14.1374	94.9523	4.069
7.44181	50.649	2.527
6.06816	58.6353	1.227
