length	config	time
8.70346	50.7028	0.509
7.87268	39.911	0.175
10.8417	61.7302	0.439
7.98983	38.9176	0.161
10.469	57.543	0.222
7.58724	45.9223	0.091
10.3733	47.5337	0.59
7.61323	31.3321	0.099
8.70064	46.9088	1.237
9.82888	52.2405	1.133
9.51607	53.4333	0.419
9.74058	57.0199	0.351
8.70563	46.5042	0.267
8.0332	54.1506	1.063
9.42113	46.8226	0.5
8.50004	41.9501	0.251
7.37543	37.7987	0.123
9.90624	52.7028	0.243
7.13623	42.9165	0.271
8.19653	53.3203	0.304
8.78287	42.3808	0.243
7.67308	52.2804	0.249
6.0696	38.5261	0.528
9.6429	51.3703	0.182
9.17553	55.5598	0.553
6.80195	38.1056	1.082
10.0418	50.3428	0.554
9.13211	53.9675	1.003
6.00079	45.6574	1.43
9.3679	44.7599	0.355
10.1057	52.9069	0.081
8.41225	41.1579	0.221
9.17766	40.1985	1.574
12.8826	59.3628	0.706
8.98272	46.5337	2.584
12.4387	65.9278	0.624
8.41229	39.8946	0.163
11.4989	62.5378	0.818
7.69556	42.6992	0.574
10.1815	52.1649	0.236
7.43498	42.7992	0.69
6.42354	34.1694	0.033
9.81419	50.5335	0.224
9.22868	47.557	0.138
8.75117	47.9027	0.28
7.20139	44.2812	0.325
7.29759	40.1334	0.191
9.16912	45.2847	0.625
9.48915	54.1782	0.176
8.48917	46.5415	1.819
