length	config	time
2.6569	26.0187	255
3.56385	36.7276	155
3.47736	30.4625	179
3.51531	34.552	109
3.3215	23.8178	111
3.78936	39.1898	167
4.15351	35.0733	255
3.66996	38.4416	647
3.86074	40.1856	515
4.87422	50.5665	413
2.68033	25.462	449
4.61831	37.3099	516
3.45233	35.2046	408
3.98434	39.1548	524
2.75043	30.7055	983
4.66126	53.5504	662
5.4506	51.5461	597
6.03909	52.9188	525
3.66081	45.9539	308
2.88351	28.5551	120
4.17781	26.9797	868
3.97161	39.806	433
6.04504	43.5001	341
3.05994	30.8026	75
3.88425	49.4723	467
3.8354	31.9521	125
4.788	43.1788	308
3.27736	32.0841	228
6.09249	52.1716	504
4.29693	51.8797	470
5.78626	41.2114	541
3.50927	41.8451	375
5.87016	40.9943	614
6.2512	48.6173	385
4.67866	36.9879	391
3.60076	45.2499	488
3.54658	35.3584	300
3.95716	57.218	574
4.63525	40.8517	247
3.3916	30.6149	138
4.94079	56.3093	423
2.7857	27.6208	99
3.59275	31.9502	195
4.47887	37.0519	668
6.03015	45.3351	1227
2.95992	26.045	180
2.49707	36.6534	157
4.2552	40.9744	142
6.66962	45.5966	297
3.93736	33.8122	441
4.96069	44.4369	629
3.87527	51.4527	320
3.91586	40.1673	179
4.73933	39.7631	415
3.75732	42.3308	354
5.18342	47.838	625
3.74332	28.3083	76
3.30343	37.2754	103
3.6283	36.9956	300
4.31289	33.8452	266
3.70708	29.0619	1050
2.68718	24.4704	74
3.15698	28.9659	165
5.31717	40.0988	223
3.78342	40.5425	208
4.87053	57.0844	195
5.45285	61.5387	423
5.40854	47.6684	322
7.4011	65.9185	624
8.81488	91.9312	1421
2.7025	36.1324	272
3.49643	27.1938	240
3.75403	33.5962	240
5.43647	43.6368	248
3.40338	29.0345	75
3.64437	32.3962	157
3.33145	30.674	521
3.47107	35.418	131
4.80412	44.3669	689
7.74502	69.2419	773
4.72304	42.9503	452
3.45821	40.7067	246
3.33387	28.6908	507
4.01543	51.5413	214
4.20174	51.9251	761
4.32508	33.265	206
3.75832	38.0746	141
3.22907	28.2392	288
3.46528	32.2473	363
5.11469	40.8292	1249
3.92457	41.1617	350
3.71635	27.0701	96
4.3978	36.7613	373
4.86304	55.9467	272
5.1561	42.626	368
3.42198	34.0135	210
3.5251	35.6912	273
5.11036	42.0871	761
6.92756	49.5165	1702
3.50655	35.4962	127
