length	config	time
4.19193	24.9987	71
4.45072	23.8395	131
5.48825	42.2869	282
7.46327	40.4252	272
3.72791	25.8847	256
5.87775	37.2761	117
4.4064	22.9174	84
5.5755	32.236	199
5.71527	27.1811	73
5.60978	31.8825	129
4.29079	27.8614	91
4.3937	35.74	175
4.60555	29.3182	120
4.50172	25.9563	106
4.43505	28.5863	251
4.37187	41.0252	241
5.63758	33.3513	199
4.93749	30.9754	113
4.53803	32.1434	155
5.32508	29.4939	120
3.6455	28.3059	107
5.34234	32.271	171
5.74964	45.0967	233
4.68048	29.7418	174
4.82465	25.5807	212
5.74222	29.2614	84
4.20015	24.8387	245
5.07804	24.0952	110
4.79752	33.3345	312
5.68933	31.0997	107
4.28977	24.8856	174
4.07791	21.261	85
4.85132	34.3805	178
4.82703	36.6881	123
6.7015	47.8477	215
4.99971	32.7936	653
4.47549	29.3043	158
4.26962	22.91	157
6.23016	45.5106	230
4.74797	31.4878	330
3.96125	20.1208	64
4.93732	37.5432	618
4.6266	30.4434	107
3.93026	24.5486	252
4.44614	29.6163	565
4.2902	25.61	96
3.91516	25.1216	156
4.57233	28.0236	99
4.81559	29.134	76
5.18331	40.623	270
4.16074	25.4377	166
5.04261	32.2778	301
4.69348	35.1024	309
4.24634	33.7771	159
5.96864	40.2893	217
4.84492	35.5501	320
4.55465	26.7261	100
5.47314	37.2348	107
4.89944	32.266	160
4.67381	32.2732	157
6.37694	39.9858	320
5.21544	30.3098	145
4.5197	28.3358	107
5.11798	34.226	359
6.90718	35.1556	279
4.79307	28.1223	95
4.90209	28.8792	113
6.24197	45.9985	187
5.93417	42.0907	219
6.93805	38.9207	173
4.44885	33.4552	271
6.19851	36.9641	283
4.07571	30.2366	119
4.74116	24.8367	143
5.2007	33.421	131
4.33812	25.2559	81
5.10305	27.4153	169
5.49366	35.1347	187
4.77544	24.953	124
3.79441	23.8985	150
5.27427	35.4745	112
3.5309	35.0012	169
4.57784	29.4022	98
4.75243	31.7309	226
6.16219	31.0841	116
4.39338	19.839	189
5.46339	34.4478	420
6.86209	40.6274	405
4.72632	26.7399	77
6.91352	34.5967	317
6.24024	34.6763	142
4.95741	29.3343	291
3.74078	27.9461	155
5.6684	41.8978	267
5.42223	40.4629	276
6.78319	39.4537	237
5.53427	40.8213	164
3.97121	23.9219	98
3.91222	23.3074	106
5.13488	29.4821	236
