length	config	time
4.16921	35.5424	210
2.99282	36.764	163
5.23752	47.7014	188
3.53891	34.0165	375
6.35136	46.6801	307
3.89174	38.7259	411
4.97417	65.2103	255
2.77501	30.2158	421
2.81959	42.4435	374
4.71089	48.452	262
5.10908	43.5758	700
4.71191	33.4441	93
3.09126	28.1413	147
5.14144	41.5971	783
3.23422	26.6245	396
3.7552	31.3461	824
3.18782	21.5958	310
5.81881	36.1776	161
4.03014	36.0359	197
3.43779	36.1035	183
4.63713	47.2821	280
5.02449	46.6724	452
3.68913	30.9645	514
3.86211	47.4402	204
9.01719	72.683	871
4.18791	34.5578	111
4.32669	44.54	879
3.53441	34.0462	109
3.62048	31.8364	476
5.39978	36.0038	312
4.41426	38.1277	396
2.60863	30.0163	144
3.30764	27.301	117
2.7822	20.7666	438
3.40783	43.7543	475
3.38299	37.831	280
6.30969	55.5304	338
4.47084	38.8482	226
4.26289	42.0348	516
3.97056	42.8112	212
6.17966	49.5639	777
3.9105	44.0084	386
2.30742	30.578	104
3.81775	39.1289	313
5.16013	44.0897	336
3.50863	45.5115	332
3.45751	28.1218	336
3.9937	41.9833	436
3.96288	35.1041	328
4.87081	31.9117	145
3.73415	42.4753	196
3.6555	31.566	93
4.4227	44.6211	366
5.20952	34.3111	463
2.39073	27.7996	562
2.86685	32.0422	79
4.35708	36.6607	424
3.59156	32.3773	143
5.46613	45.576	129
3.20707	24.8535	129
4.22735	44.9137	425
4.98743	62.6297	446
3.10546	32.7691	469
3.48543	37.4574	154
3.85482	34.9208	814
3.4119	39.7203	649
3.92939	42.3148	287
3.17527	31.8213	186
3.35613	38.114	240
4.26399	43.3002	264
4.29879	50.5772	360
3.99674	47.9529	732
5.32132	32.9834	807
3.11793	35.874	107
3.98867	36.321	386
3.93859	38.7395	614
7.31731	58.9361	628
5.56347	47.9869	603
5.20045	67.3516	686
4.91643	46.4172	634
5.00884	47.9516	1043
4.13193	40.9361	244
3.09332	27.3952	109
4.26722	42.2633	156
3.93298	37.0508	207
3.22997	27.7035	372
3.39962	35.9735	179
5.97498	50.7003	994
3.87357	36.8646	107
2.91937	39.2033	346
5.89307	51.9836	439
2.87492	40.6201	211
3.72059	29.808	117
3.90916	36.7099	243
4.08908	55.5322	990
3.77885	38.4111	82
2.71786	28.1575	404
3.87133	27.5288	506
5.67264	59.7039	395
6.30421	67.3638	476
