length	config	time
5.67169	32.73	119
4.7248	32.5794	134
4.25726	29.0061	93
3.78075	26.1105	378
4.23981	27.9472	178
4.44387	36.2107	219
5.41609	33.4774	368
4.57381	26.2433	98
3.9119	29.3707	223
5.13937	33.3746	95
3.76662	23.9209	101
4.27746	31.2183	254
4.73981	36.36	197
3.49308	21.4638	328
4.01853	28.1739	83
3.98466	26.8786	144
3.98357	26.8473	80
6.37138	37.7209	328
4.19707	24.3905	108
4.56014	44.0115	192
4.15962	30.4001	100
3.89612	26.0177	65
4.26404	26.4564	257
4.11609	30.7651	156
6.7142	38.4666	430
3.66157	24.5033	110
3.78285	19.9728	83
3.82122	26.6175	105
3.59092	31.2382	498
4.26387	26.7751	198
4.39379	34.5513	138
5.95317	37.5941	251
4.70933	33.712	99
4.71623	35.0538	154
4.75738	26.6653	271
5.65506	38.5583	214
4.65162	36.2552	198
4.07442	25.3494	176
4.02305	29.3753	105
6.58481	47.6392	230
3.70328	25.4556	148
3.74393	33.4973	139
5.54684	29.5494	141
4.58446	28.1869	180
5.27223	39.0467	172
3.75688	27.5909	163
5.0425	29.9551	276
5.42211	45.4817	254
5.47821	36.8988	211
4.45566	30.1736	126
4.68021	26.5855	93
4.84463	32.5599	283
4.19798	23.5473	228
4.72002	36.081	135
4.13652	30.4157	146
5.14955	42.6164	300
3.91428	35.0095	349
3.78904	26.1512	110
4.52558	29.2905	301
4.15821	31.4134	118
4.15702	28.6133	132
3.59731	27.4469	661
4.5064	29.632	94
4.33013	30.408	132
5.29804	32.703	122
4.28734	24.6051	100
6.58192	49.3013	219
6.24056	41.951	180
4.31092	31.9775	291
4.98183	40.0686	187
5.30043	29.3253	110
6.97531	41.8581	498
4.08842	31.3698	156
3.64583	24.8941	116
4.36319	24.0989	282
4.65125	33.8453	320
3.73184	29.5307	155
5.57389	44.6686	290
4.43342	34.0023	158
3.62367	21.9091	166
4.04761	20.1341	78
4.38379	33.0384	150
5.10702	32.6747	218
4.51208	28.0298	96
4.4846	34.629	156
3.86649	21.2062	88
5.72182	35.2426	389
4.40356	36.813	438
3.9652	33.8927	133
5.77236	31.5485	178
4.64739	35.3623	170
4.35159	25.4679	114
4.60304	43.818	321
6.13229	39.5395	410
6.00091	32.4119	330
4.1228	34.7037	211
5.5851	39.1171	177
3.94858	22.2837	145
4.58929	35.8229	159
5.39586	41.6083	170
