length	config	time
5.51401	22.0731	116
5.5275	26.3357	171
5.36625	22.1972	135
5.71718	23.1875	180
6.8718	29.0169	231
6.85144	33.5925	275
5.99173	24.737	177
5.64225	21.6126	224
6.47803	32.4706	402
5.44545	22.8922	111
6.34619	32.9064	376
5.75463	26.5949	212
5.59543	23.8151	111
6.23963	25.641	337
6.06454	25.3696	223
6.00722	25.1499	254
6.29902	26.6837	186
5.90234	25.7765	231
7.94643	40.1983	282
5.71786	24.1551	475
6.11574	29.3282	225
5.67976	24.6882	246
6.46767	26.4282	302
5.46515	22.3903	126
5.72788	23.482	150
6.41707	30.7682	166
6.79324	31.5134	442
4.95117	21.1466	114
5.93773	26.9244	372
5.2364	21.0509	60
6.39486	34.6777	396
6.361	30.6297	950
6.57488	24.9402	164
5.60876	24.082	128
5.92908	24.9167	191
6.37785	26.4014	287
7.1313	29.6035	475
5.42443	21.6006	71
5.60744	23.6573	225
5.71568	24.9187	176
6.32377	30.177	361
5.83172	26.4481	107
8.1059	35.9472	816
6.22481	25.6676	215
5.59661	20.9618	83
6.34814	26.6258	263
5.7326	32.7059	542
5.95785	23.2235	186
5.26349	23.4643	142
6.37807	30.7797	173
6.10949	29.0722	206
5.92583	29.1063	208
5.75032	27.4461	330
5.76775	22.5395	351
5.39925	24.0646	162
6.48093	29.9593	532
5.7917	25.0398	222
5.89187	26.0386	117
6.39787	28.5053	161
5.88279	26.4243	188
6.14162	23.0708	132
5.74717	25.1309	253
6.14311	29.8587	215
5.43225	20.9546	94
6.16753	28.1593	601
6.23836	26.9366	171
6.08142	30.0247	290
6.34795	32.1472	270
5.72427	27.6976	261
8.05196	32.4726	328
5.44678	21.3832	78
6.12328	29.2675	217
6.02296	26.1988	459
6.14381	24.4972	171
5.4227	27.5596	200
6.5035	26.8786	225
5.76713	22.8329	110
5.60852	23.6277	144
5.5216	25.747	120
6.11748	27.8041	211
6.38755	30.8213	399
5.81624	27.3935	388
5.95316	25.6063	250
5.9661	22.5046	137
6.37788	29.2138	326
7.28641	29.0872	770
5.86021	27.5217	283
7.18162	28.3523	352
6.76164	32.8286	192
5.58941	22.4911	88
6.81724	29.7904	206
7.02997	32.3632	762
5.52651	22.5582	169
5.79024	25.3755	145
5.90146	25.3245	159
6.29642	28.6174	159
5.43826	19.5423	59
6.44263	29.6928	425
6.13066	25.6626	315
7.01399	26.3079	334
