length	config	time
10.2766	51.486	0.636
7.29534	29.4398	0.831
7.47001	35.1937	0.654
8.95502	41.7121	0.506
6.80292	36.9928	2.211
7.98678	48.4321	0.193
9.16628	51.3522	0.71
10.1414	49.6733	1.422
11.9207	55.7341	0.788
8.31228	43.2289	1.082
8.88077	43.8837	2.957
9.55204	50.4393	0.822
12.4768	52.5812	3.26
8.60434	42.9686	0.807
8.74889	44.746	1.313
9.2635	48.3352	1.792
13.4027	70.1065	1.119
9.98072	53.584	1.681
8.63758	43.4673	1.556
11.7396	64.0129	1.73
6.83679	35.8722	0.426
8.28694	33.7718	0.684
8.42747	40.4246	0.966
9.34463	44.678	0.949
7.16376	31.7736	0.513
9.04732	40.0385	0.518
10.2013	40.5894	1.879
8.08952	37.8894	1.404
9.96005	54.7489	0.931
8.32903	37.9844	0.888
9.5185	41.3708	1.466
9.85853	59.0628	4.349
9.99767	47.4198	2.201
10.648	52.4337	1.639
9.21486	38.6208	1.623
9.14923	46.3901	0.769
9.28857	38.8784	0.704
11.0436	58.1913	0.887
8.93986	48.221	0.501
9.55507	54.7092	1.02
8.76393	42.8293	0.899
8.50469	37.373	0.682
7.23479	37.0882	0.817
7.69087	36.0416	0.506
10.206	42.7287	1.429
9.49716	46.4441	0.676
9.36023	45.3728	0.717
8.10173	41.4258	2.6
7.77936	42.1313	0.28
8.13072	41.5054	1.732
