length	config	time
3.56712	28.8381	84
4.13839	32.0575	300
4.55446	35.3834	256
3.60991	29.3529	390
4.38956	28.1365	374
4.30079	35.5587	120
4.0565	29.6781	391
3.20987	24.2176	502
3.73031	28.3264	238
3.64491	23.4923	79
3.80019	30.8588	112
4.88432	37.4208	202
4.58398	30.2782	270
4.3682	29.7008	85
4.55401	44.1352	887
4.20802	29.8021	99
5.21246	32.3251	88
3.68681	27.0276	70
4.43637	36.1198	122
3.73686	32.7486	264
4.9284	35.4713	309
5.78707	42.6424	285
6.16203	41.5369	216
4.54816	34.9761	139
3.49014	34.9361	137
3.94614	27.5178	295
4.56616	39.0785	197
3.59054	29.4713	99
7.58599	51.9319	415
5.72072	42.6443	232
4.77141	45.0742	429
4.02791	30.6174	158
5.27808	35.4605	181
4.46067	36.3475	394
5.48703	37.9778	138
4.23685	32.3124	103
3.55159	32.8798	360
4.20851	27.7095	103
3.51472	18.7369	63
4.81289	33.6722	109
4.01954	25.5378	140
5.33055	34.1718	159
3.61935	27.008	161
3.9768	32.6136	246
5.95778	44.1389	367
3.96506	35.3564	135
3.71054	26.4692	217
4.07689	34.813	257
4.14104	37.5932	112
3.83455	21.6082	88
5.39524	33.769	169
3.79764	39.4547	170
4.26834	31.036	221
4.47805	39.7462	234
6.14726	41.0295	259
5.10047	36.2968	174
4.03132	34.792	198
4.0952	33.9963	157
4.18786	28.3571	120
4.55019	37.423	439
5.13772	34.6061	98
4.02175	29.5219	98
4.54988	42.6949	204
4.68671	34.6803	381
4.0733	32.7838	349
4.29747	39.3202	292
5.75665	43.2534	278
4.17272	37.1447	222
5.54712	39.0435	124
3.69918	29.7451	136
4.28957	33.3024	239
3.75705	26.839	101
4.93658	36.2132	151
5.05402	33.178	249
3.5995	27.6028	134
3.72609	39.9329	423
4.60637	37.8912	395
4.47965	34.5061	367
4.53936	28.0512	243
4.51189	44.8938	242
6.51404	51.569	257
4.69029	38.729	176
3.82226	26.8597	91
6.35012	48.7629	442
4.28457	31.5591	92
5.48566	33.3307	334
4.70204	32.0574	110
3.54439	23.3273	56
3.74191	29.4809	187
3.45739	26.0044	94
4.1363	35.211	522
6.28844	43.2685	407
6.63165	42.8581	334
3.36633	29.2304	295
3.60377	29.3635	64
3.48726	24.08	79
3.58018	25.2382	266
4.3246	23.2621	317
3.6574	25.1712	281
4.17964	34.5402	109
