length	config	time
4.56954	43.5953	283
2.91512	35.986	187
4.24079	35.0928	527
3.48495	29.5506	184
4.28967	66.7805	371
3.16004	25.3171	207
5.49909	41.0744	420
3.46774	48.854	355
4.843	79.8488	735
5.48888	49.872	378
4.25263	40.5537	397
2.2597	26.614	166
3.35962	29.8179	242
5.94103	54.3804	758
3.46099	30.3297	380
3.62761	32.7765	77
6.29074	56.6312	304
4.22633	38.7806	302
4.70821	43.14	465
4.05227	49.7912	228
4.83203	43.9209	137
3.95256	36.419	297
4.83214	35.2648	215
3.31328	37.6334	304
3.65958	53.9964	287
4.92103	39.3983	272
6.7402	46.9778	343
3.39164	35.2765	124
7.04222	51.7223	581
2.80019	33.9268	363
4.1143	39.0794	381
4.59239	32.8	408
6.63738	58.7821	474
3.94201	39.1542	376
4.14894	37.3797	98
5.04616	39.1391	264
3.49706	28.7994	493
3.45224	34.8549	196
5.61403	44.5571	428
6.7026	63.2075	947
3.91034	39.7616	260
3.69525	43.4736	447
5.29569	47.8159	670
4.05079	43.6719	365
6.49456	63.6718	811
3.35457	30.4418	159
4.11873	36.9002	219
3.74935	37.0483	374
4.78189	40.8628	228
4.3739	44.0214	142
6.48776	41.427	595
2.76793	26.2006	454
3.5318	26.7464	301
2.44774	29.269	485
4.64188	39.3108	642
3.92787	42.5004	243
4.62396	39.1859	1064
3.87027	50.1817	864
3.24325	34.0299	359
6.40546	54.4455	616
7.47927	72.4973	539
4.39358	30.1061	350
5.86268	50.5636	207
6.298	58.8568	286
3.55132	27.5422	287
3.44912	34.2629	433
6.50124	48.1238	437
4.82783	37.2183	203
4.2355	38.7229	551
4.19948	43.0382	593
3.57626	37.6545	324
4.73026	40.1266	263
2.79087	25.9287	991
4.0502	36.7031	294
2.87439	24.74	382
4.40934	47.8252	324
6.17903	52.2408	311
3.25855	26.633	175
4.5981	36.0899	143
4.56306	57.4258	303
5.63003	33.5481	201
6.23819	42.1829	705
3.97534	32.3163	400
4.30668	45.8554	193
3.48864	40.9663	262
2.15906	30.3085	69
3.44013	35.5745	238
4.73635	34.7197	487
6.20413	49.6054	296
2.86811	30.9033	203
4.05456	41.1583	188
2.45055	32.9033	108
4.15292	43.4103	321
4.70766	54.3074	387
3.03799	33.236	130
3.44958	31.1153	310
4.90084	33.5446	992
4.55036	43.8776	489
4.10122	43.9036	195
3.30049	28.5115	131
