length	config	time
7.84231	34.7691	2.026
10.4812	57.7024	2.64
10.2194	46.5196	5.319
10.4084	45.7739	2.683
9.41398	49.85	1.958
8.07677	39.4686	1.279
8.73792	39.3056	2.661
10.39	51.9523	1.844
7.95228	42.8486	2.981
8.02416	38.9399	2.475
8.70522	42.9631	1.566
8.30553	38.811	5.055
8.94417	50.932	2.136
10.0153	50.744	1.69
11.9765	58.9871	4.133
7.72348	35.5372	1.047
10.1283	47.6446	4.662
10.5799	55.9178	8.1
10.206	54.4918	6.625
12.9724	64.7336	2.21
10.2408	52.6719	3.531
9.29605	49.3786	1.851
10.6462	51.6094	1.563
9.51301	43.9421	4
7.91999	40.0351	1.729
7.1549	30.1669	0.586
8.08569	39.2059	0.934
13.1945	66.7142	3.675
11.1796	57.1436	3.521
8.38303	40.777	1.719
8.87897	40.6311	1.933
9.35275	40.7063	1.075
8.46731	43.096	2.887
9.54107	46.1835	3.28
9.6308	43.1533	0.902
8.90658	50.5437	8.705
10.952	56.6293	2.577
8.88434	38.9927	0.658
10.0361	51.8017	3.069
8.57474	37.369	1.318
8.1179	37.3552	2.489
11.5757	66.3965	4.333
10.4577	59.3561	4.963
9.10119	45.4146	2.109
7.84	43.2429	2.195
10.2587	49.0771	1.812
6.64341	29.4868	1.135
12.0867	62.2993	1.524
9.32005	40.5346	2.04
7.92479	41.8169	1.217
