length	config	time
7.42477	28.7489	793
6.35306	29.464	485
7.04949	32.8471	662
5.5959	25.3864	258
6.33499	27.5732	294
5.88642	25.0214	445
6.61051	27.7195	226
6.10878	22.8781	225
5.65554	22.7025	154
6.90189	30.6659	423
6.10758	25.124	196
6.41577	27.6186	350
7.08854	31.5797	344
6.3516	25.0186	372
7.49428	32.6048	369
5.98819	23.3306	445
5.7926	22.2709	162
5.96501	26.1122	244
6.43432	27.6519	336
5.96908	23.3743	139
8.30222	29.1064	535
8.04174	26.4913	342
5.39264	25.2931	498
8.2481	43.1657	1035
6.48852	26.75	255
7.06904	36.384	611
7.10001	31.165	382
7.46738	31.6703	641
5.84118	27.0313	251
5.91669	23.4353	286
5.35051	20.2026	76
5.74058	21.5557	155
7.46522	35.7808	427
5.3115	23.4147	155
6.05544	24.7117	272
5.9865	27.2674	250
5.53053	22.7678	149
5.72895	20.7417	134
6.25643	29.135	427
6.38733	24.5162	438
6.30874	27.2718	517
7.4397	32.2114	714
6.03954	23.442	165
7.16635	28.6544	773
7.31515	35.9694	349
6.09486	27.6924	293
5.70054	21.6716	240
6.32254	24.1839	178
6.08409	23.6963	135
6.67662	28.6595	345
6.66253	26.7153	255
6.87208	28.982	494
6.20368	25.1396	430
6.42126	26.7977	554
7.6009	39.6815	683
6.52442	24.4946	194
7.56915	32.8238	500
5.85359	23.5995	343
5.90607	24.4733	261
7.13263	25.6638	581
8.80525	37.4137	1279
6.47349	32.9666	380
6.02491	25.8526	714
5.83879	23.3566	241
5.97773	27.8644	205
6.58056	25.6969	156
5.9582	25.4745	792
6.91291	27.3177	388
8.02017	37.3979	1398
5.57061	24.9847	151
6.82697	30.135	250
6.16552	27.3198	203
6.86869	23.1596	170
6.70513	25.6747	236
7.14003	24.9215	471
5.96824	24.1245	630
6.13043	24.2992	244
6.44477	25.8186	206
6.42063	25.3256	233
5.46533	23.8661	208
7.3038	36.0288	634
5.68882	23.3396	192
5.93425	28.0307	345
6.97032	33.5828	319
6.14871	26.6626	464
5.37785	19.7352	87
5.51123	21.9828	115
6.94764	25.3722	336
6.41988	28.1401	176
6.54597	30.2505	273
6.32645	31.2181	333
5.46945	22.1468	236
5.51927	27.2234	201
6.68624	27.6636	147
7.29892	30.2371	352
5.68711	22.5624	405
6.21573	26.8807	310
5.56003	24.4264	159
6.52014	26.9422	1597
5.66906	26.4855	328
