length	config	time
5.21694	27.0325	126
5.52698	29.8083	99
4.84503	26.9861	109
4.36748	26.6375	116
4.39581	21.334	65
4.89748	27.2951	110
4.62706	22.5537	141
5.13528	26.1828	185
6.11342	27.4339	108
4.83757	22.1428	101
5.48735	24.8977	63
4.6658	22.2287	170
5.62677	30.7765	202
4.38332	24.2245	139
4.63284	21.5602	67
5.55823	34.8176	188
4.40475	21.3628	120
4.47782	25.394	127
5.35253	26.6947	125
4.59496	25.094	62
5.71811	29.0808	129
4.30486	22.2364	176
4.50162	23.5313	149
5.40248	27.4139	103
4.21159	30.1382	152
4.64227	25.8574	64
5.39754	38.1096	382
5.26526	35.0267	177
4.62552	28.5005	189
6.71059	46.7732	165
4.22329	18.8347	130
5.44945	25.8958	210
5.19207	31.8592	132
4.51589	26.4759	164
4.48456	26.1155	69
6.51877	37.8259	295
4.45947	20.5043	67
4.66433	20.8253	115
4.82827	27.0546	123
4.41492	20.5267	104
5.08629	28.0761	82
4.87518	22.2033	82
5.9759	34.6921	227
4.24846	27.543	117
4.60551	24.7167	100
5.36855	34.0405	108
7.78846	33.1325	323
4.13284	20.6936	151
4.40959	23.3266	79
6.51516	39.6508	150
4.71776	24.2051	66
7.43623	36.9444	138
5.53068	33.508	82
6.30789	39.8782	108
4.92765	28.8342	105
4.48404	22.0843	127
4.44559	24.1002	181
4.42419	26.0457	107
5.96022	29.0754	110
5.09253	23.5082	70
4.581	30.8584	167
4.4566	20.4511	51
4.93606	34.3166	207
5.10597	26.5752	103
4.88847	23.708	79
4.87299	26.1807	119
5.87039	39.111	181
6.30464	36.0829	169
4.49241	23.9372	184
4.9191	23.7831	111
5.04521	31.7965	289
4.64385	23.4857	75
4.45571	22.6616	195
5.14896	27.786	111
4.42361	22.335	67
4.33499	23.4864	234
3.88402	32.877	238
5.07519	30.2861	127
4.42348	19.2874	75
7.24795	34.4955	419
4.09928	26.4154	173
4.89693	38.0822	340
4.98359	32.5699	128
4.77509	23.0944	151
4.44258	23.906	90
4.67245	23.6861	109
4.28237	31.9393	297
4.89019	25.9445	93
4.56367	25.9517	294
4.66648	27.8097	222
4.72072	25.3958	205
4.95117	34.6207	158
4.25557	22.2432	124
4.45481	21.4742	64
6.87261	53.4666	354
5.0778	24.8979	145
4.51093	28.6033	145
3.81023	28.9933	178
4.76265	21.3971	75
5.71837	33.0323	109
