length	config	time
7.32741	42.3862	0.521
7.32398	50.231	0.279
9.41437	58.0252	0.939
5.50874	30.2917	0.1
8.3108	58.9889	0.298
6.84115	44.0153	0.32
8.91474	60.4763	1.51
5.66216	34.3244	0.089
5.23319	36.0496	0.176
7.75683	42.9954	0.123
9.24382	58.6533	0.772
12.1631	58.9567	0.605
11.4044	73.124	1.751
9.27646	56.1607	2.901
12.54	69.0658	0.638
10.5279	63.8439	0.889
6.42576	40.1115	0.167
7.58156	49.1658	0.325
7.38424	41.0026	0.063
7.77118	46.5875	0.67
10.3958	49.3871	0.735
8.00746	38.4693	0.458
11.2046	64.2272	0.315
5.76667	34.691	0.186
7.53607	45.63	1.856
7.94411	48.9493	1.198
9.05133	45.7513	0.1
9.48826	66.0681	1.642
6.65525	48.9293	0.273
8.59085	50.9331	1.993
6.51155	48.2301	0.153
7.70922	48.2989	0.887
6.95221	46.2898	0.444
9.42022	54.1308	0.367
7.61612	51.9291	2.753
7.485	45.5166	0.379
7.63797	55.643	0.115
8.54768	55.0629	2.981
8.07668	50.0601	1.532
6.28589	42.8553	0.194
9.7079	53.3123	0.928
11.7477	74.2677	0.877
7.26522	45.5551	1.752
7.94216	45.0487	0.326
11.6332	61.5593	1.083
10.1368	68.7158	1.127
7.74046	48.9808	0.784
11.4955	52.329	0.687
12.688	82.6811	1.348
7.90947	49.6781	0.262
