length	config	time
5.58265	26.7151	155
4.48768	22.9436	77
4.55411	21.0598	90
4.56987	30.3028	215
4.61531	28.3455	78
4.60643	20.1528	119
5.85713	30.5082	238
5.2969	39.5737	365
5.0214	20.545	239
4.6899	22.0103	102
4.26554	20.4066	78
4.43271	26.943	142
6.35016	30.6862	123
5.72577	28.4519	178
5.25917	26.5545	126
5.05482	25.9297	64
4.48393	20.7991	114
5.44352	39.7511	168
4.81108	29.3527	234
4.38914	21.2972	121
4.52555	28.2923	84
4.37607	28.2257	149
4.16801	26.6549	177
5.07393	25.7525	76
5.11837	29.4378	157
4.10906	21.6978	107
4.64395	27.1212	123
5.18272	28.705	76
5.66303	37.1383	383
5.67766	34.3027	261
4.34758	21.4955	150
4.39219	23.6128	92
4.35146	23.0077	82
5.07783	31.5564	219
4.65489	22.8837	73
5.28427	28.1993	94
5.84978	31.9851	148
7.52961	46.5642	306
4.45258	24.7897	103
4.46798	28.0763	279
4.89509	23.373	87
4.53662	21.0863	101
4.76919	27.4222	184
5.0659	25.9417	147
5.5062	27.9969	122
4.52749	28.62	71
4.51449	20.3867	57
4.36243	24.0126	424
5.89298	34.5514	192
4.47743	25.6677	89
5.04554	25.2267	102
4.37977	25.5444	73
4.33241	21.579	143
4.9917	30.0333	254
6.37331	43.7526	248
5.0799	28.4431	124
4.36372	23.432	103
5.7899	44.7006	338
5.96743	32.9891	120
4.80162	26.4556	116
5.23971	29.147	85
5.94337	32.7691	125
4.85803	40.1113	227
4.35737	30.0731	161
4.76376	33.4324	467
6.79295	37.7252	179
5.503	31.8011	275
5.13803	22.715	100
4.45879	28.3255	128
4.60446	23.1936	106
5.55725	34.1449	153
5.7919	27.3736	162
5.18122	29.1129	174
4.49542	21.1955	56
6.0995	37.1042	245
4.2023	25.1613	74
5.73078	34.67	197
4.58612	21.362	157
5.14951	30.2406	137
4.65633	21.1532	92
6.18045	40.4752	169
4.80176	25.4995	202
6.58994	30.8225	195
5.48917	28.1012	141
5.05481	28.9267	109
5.45022	28.6981	123
4.68386	26.4434	148
6.19485	36.6701	159
5.67476	34.4612	177
4.68444	31.8062	224
4.54139	28.2254	86
5.00627	29.6935	161
4.96155	22.9127	86
4.5462	20.809	80
5.08889	27.4906	115
4.31013	26.7565	133
4.90723	29.9297	71
5.1606	29.84	81
4.57611	22.9853	69
5.25294	40.9006	133
