length	config	time
10.6423	52.6164	2.816
11.5794	63.2313	3.015
10.3779	53.9703	2.49
9.73442	43.9049	2.634
11.5115	53.863	5.905
11.9328	53.1407	6.244
11.1034	56.409	8.239
9.85372	49.7862	2.067
10.674	49.7332	1.015
7.72935	36.8965	6.908
11.8022	67.4754	3.92
10.897	61.9954	3.115
11.4774	55.1136	1.937
11.2983	62.6421	16.116
9.2616	49.9612	3.888
10.7078	52.0698	1.868
9.27843	43.5488	1.818
10.9802	55.8432	8.013
9.37732	41.5693	6.066
13.6378	63.7006	1.17
8.80365	44.7703	0.756
10.9239	63.4244	7.923
11.6042	54.2082	2.172
9.85305	52.6097	6.019
9.54572	46.8025	4.401
8.7885	43.4901	4.602
10.9849	49.0021	2.966
9.73513	42.6878	1.708
10.329	50.1049	4.307
8.72047	41.3866	1.545
8.77398	51.6637	1.687
9.73914	48.3215	2.876
12.3595	61.1943	2.121
8.91022	40.5923	8.356
10.2919	63.5919	22.489
8.56901	43.3165	3.771
8.47325	38.432	1.996
10.242	50.8269	5.773
9.92679	53.2242	3.633
11.0675	59.9384	2.882
13.5285	57.2779	7.274
10.1969	55.8827	10.868
10.2484	50.2276	2.657
11.6639	60.006	8.511
8.96393	40.7666	0.96
10.7441	57.0768	9.869
9.54337	45.5464	1.441
10.3677	54.7966	13.11
11.0149	52.6403	7.859
10.3266	56.7682	2.267
12.6293	64.8904	5.316
10.4987	49.0102	4.382
8.96952	38.313	2.504
10.5511	49.1169	5.24
10.1032	54.4288	5.081
11.3833	54.1451	11.784
10.2306	48.5883	3.032
7.40841	35.4131	1.9
10.324	53.2282	2.799
9.79099	44.1811	3.028
10.1665	49.1965	3.809
11.2605	50.6912	6.047
12.4486	65.0876	6.878
8.91205	52.165	3.842
11.8643	62.6011	5.723
10.279	52.8283	4.024
11.1694	50.9015	7.252
8.89232	38.9063	4.268
10.2832	59.4367	7.143
10.8616	52.5048	3.62
11.1614	56.0822	4.259
14.1041	74.8585	8.821
8.66117	42.3678	1.19
8.83539	35.987	1.248
9.47398	46.2275	1.067
10.2891	39.1979	2.387
8.62647	36.2141	4.042
12.0612	61.8134	5.628
10.7819	59.6977	6.146
9.84892	48.3046	11.805
10.6085	56.6316	7.084
9.08441	52.5992	3.973
9.65453	55.5992	7.835
12.3562	63.4256	7.491
10.8603	58.2222	3.567
9.84632	50.3643	1.926
11.1368	60.1293	3.926
8.82799	37.7965	2.774
11.0843	51.8968	6.734
11.9278	64.3355	12.393
9.98556	46.2038	5.676
11.6189	64.8504	1.559
8.11519	34.9871	1.817
9.32243	51.6574	5.283
8.7618	46.2357	2.447
10.1172	39.6805	1.521
10.8079	53.5079	7.442
9.73696	54.7861	5.011
11.3384	54.552	5.096
13.0626	63.3513	2.563
