length	config	time
9.15559	41.2141	1.983
8.18176	40.1161	0.422
6.70243	36.055	0.587
7.02147	37.4071	0.261
8.15397	35.6744	2.232
9.02482	44.1107	0.482
9.14844	49.4784	1.687
8.67821	41.312	0.378
9.65007	48.6382	0.969
10.95	55.7615	0.433
7.50835	36.5839	0.39
6.31356	29.9227	0.138
11.5778	66.9456	1.288
8.00445	37.4303	0.719
8.96012	47.3773	0.632
10.0486	49.7554	3.652
8.47011	47.6407	0.765
9.42547	57.978	0.614
11.0414	52.8565	1.959
10.1534	42.1527	2.172
9.67534	50.2692	2.852
10.8377	59.7253	1.019
8.4512	51.2446	1.234
9.55939	49.5381	1.578
11.1761	63.2982	3.514
7.36049	38.3495	0.945
9.73185	57.7987	1.034
9.28835	39.7068	1.019
12.5743	60.8597	2.522
7.54787	32.7292	0.577
9.06765	44.1708	0.311
6.31683	33.7306	1.811
6.71548	27.2301	1.321
7.10364	29.985	0.325
8.32169	42.142	0.98
8.64177	45.0468	0.332
9.29298	48.2744	1.168
9.32017	52.4703	0.864
6.98094	31.2363	0.184
8.05731	39.0266	1.487
9.02926	44.944	1.263
6.99759	28.3618	0.685
7.95816	40.0306	2.157
8.53194	43.3217	1.076
8.21274	36.4845	0.801
9.905	57.878	1.696
8.86647	40.9043	0.499
10.4781	56.5194	1.758
8.86876	48.1064	1.517
7.98271	40.5431	0.146
