length	config	time
11.6937	61.9102	13.609
10.7185	50.5156	4.358
10.9784	59.0186	2.557
11.1336	59.3878	4.268
8.3922	36.158	3.479
9.39531	38.8388	3.123
11.1161	58.282	4.088
8.69773	44.8693	7.356
9.78137	51.6639	4.595
10.4315	47.0256	1.839
10.4586	50.3059	5.353
9.47409	56.8965	11.685
9.51015	48.7769	2.019
9.51478	50.4423	9.854
12.6707	64.4852	11.967
10.3176	45.0313	1.631
11.3539	53.4673	8.822
12.2489	66.5565	8.163
8.52618	37.6798	2.608
10.9863	58.8778	1.591
11.5625	52.7189	1.726
8.88315	43.1282	2.048
10.8761	53.138	4.415
12.1292	61.5326	2.469
10.4974	58.0558	5.031
12.7509	58.7216	3.711
10.6246	51.2699	1.835
8.23769	37.0099	5.762
10.889	50.4813	6.189
9.19079	46.4313	2.694
10.5252	52.9632	5.823
10.5103	49.7722	2.338
8.11531	43.0424	3.595
9.13649	37.0981	4.844
9.7861	48.3789	2.234
8.63876	38.1542	3.225
9.99454	54.0662	3.424
8.74294	36.7201	2.014
10.1135	47.3795	12.274
8.70684	40.0544	5.398
10.9968	47.7689	5.688
9.44867	45.7386	4.734
10.0574	45.3558	1.93
7.96674	35.5706	7.703
7.84023	36.3655	6.255
10.2992	46.1557	8.628
9.26122	49.7117	5.883
9.49174	51.1913	2.629
8.22798	33.77	3.694
9.27899	42.9922	5.121
11.5724	54.4561	3.047
9.12594	40.7816	4.916
10.9017	59.732	3.949
9.78323	54.2585	5.897
11.0743	54.0731	4.241
9.79655	50.864	1.328
8.7821	41.5711	4.189
9.05641	39.1385	3.503
8.34166	43.7923	0.957
11.2019	57.0486	2.371
9.29022	47.4248	1.273
8.28081	46.2343	2.907
8.54414	41.9417	3.265
9.69277	42.3781	4.573
10.9384	64.1367	10.796
10.0583	47.0241	5.935
10.8211	52.8802	2.997
9.47347	43.7196	3.065
9.37361	45.3304	8.793
11.0412	53.4386	3.325
8.36421	37.3203	3.001
8.69711	37.8252	7.483
11.7723	69.4233	3.121
10.3005	53.7488	2.468
10.0681	51.0108	4.489
9.50394	53.4906	5.303
11.1458	57.3685	1.743
8.79952	45.4824	3.325
8.07895	40.0957	2.086
13.5942	66.8811	3.574
9.59779	45.7269	9.081
10.6294	53.0401	6.533
9.67654	52.2507	4.886
10.7207	51.097	1.589
11.834	55.3421	9.087
8.06578	31.8494	1.815
10.5465	49.8212	4.807
11.3921	60.5146	6.872
8.22381	44.077	3.274
12.4779	64.621	7.678
10.1133	44.3339	7.768
11.8768	63.4798	3.674
8.87882	44.6642	3.159
11.0484	57.6231	9.944
9.92229	44.4426	7.051
10.3347	48.3171	3.195
9.11246	37.825	2.548
10.1681	47.7372	2
11.2662	59.8273	6.64
12.0584	49.1336	17.756
