length	config	time
10.3728	58.8115	4.269
9.84764	51.4731	8.01
8.29085	47.7521	7.448
10.8339	61.075	1.719
11.534	60.8343	17.355
10.5303	55.8256	4.22
8.14934	39.92	5.21
11.1765	60.1274	5.782
10.417	54.215	5.974
8.91999	37.8612	6.074
12.6383	55.9194	1.035
8.5908	40.3758	2.588
9.66262	50.272	6.915
9.06071	45.889	2.868
8.80823	38.1701	2.603
10.1651	52.8586	9.996
9.19845	41.6843	4.786
9.36814	49.2475	3.985
9.82186	52.7783	4.385
8.17181	40.4836	3.09
9.85209	52.8982	1.983
9.48912	46.6241	3.164
10.6636	57.8761	6.957
9.48572	44.7738	1.154
9.85534	52.1559	5.206
11.7093	57.9056	2.615
10.3222	54.5867	8.923
10.0506	51.409	0.586
9.66127	43.118	3.059
10.4292	59.3125	7.987
11.6241	56.9078	3.764
9.58986	45.4588	6.906
10.5958	51.2667	3.118
10.434	50.1467	8.039
8.78017	34.3219	4.358
9.21824	45.2095	3.157
9.41169	44.0306	2.154
7.80666	37.5722	2.159
11.7733	56.0213	14.893
11.2088	61.0932	4.386
7.43594	31.2314	4.629
8.3981	37.1993	3.103
10.291	56.981	9.553
11.4943	58.7747	2.709
8.36726	44.7389	1.105
10.5612	54.0551	7.813
9.88297	52.1608	7.315
9.65536	47.0306	7.495
10.7461	59.6403	7.488
7.57142	32.1173	2.438
9.25545	50.549	7.049
11.7239	56.6061	2.848
8.17734	42.0842	1.16
13.748	69.698	3.632
9.27297	45.8935	8.338
8.70429	39.5151	6.149
7.40896	44.1361	5.515
9.74388	45.9974	3.783
10.5673	63.1294	4.688
10.3415	43.474	3.006
10.5572	51.4398	18.59
9.28244	46.3334	4.158
10.0905	52.0605	1.928
11.144	59.8209	8.768
8.85449	35.9222	5.666
8.98829	41.0481	1.356
8.07088	37.7904	4.052
10.3215	48.226	2.852
10.0666	51.6182	3.389
8.91899	40.3354	1.687
10.901	55.3339	3.383
9.50458	55.8577	5.641
10.0066	50.5467	2.762
11.5508	52.5985	5.816
9.63746	38.1608	2.682
11.6103	61.4224	4.724
11.1719	56.3571	15.933
8.90599	40.6511	5.986
11.9858	69.0193	2.112
9.58874	52.3791	2.7
11.8977	69.8286	5.613
10.8056	55.6145	2.355
8.98249	41.1493	3.228
11.2544	53.7112	4.323
10.3573	54.4222	2.958
10.8111	56.5955	7.567
9.636	54.0346	3.036
10.6895	55.6919	6.154
8.92366	51.4259	4.182
10.0589	52.3856	1.936
10.3809	53.7633	12.22
7.43335	34.0161	1.747
11.8826	60.8195	2.538
9.17171	51.2847	1.622
9.63074	48.7407	4.472
7.88268	34.6199	2.455
10.591	50.8611	2.223
10.2316	45.4123	4.272
12.0051	64.6629	5.475
10.189	56.3395	4.871
