length	config	time
9.79903	53.8794	1.778
10.4812	45.4202	4.729
11.6236	54.9715	4.661
10.4196	50.0035	2.028
11.0403	57.6004	4.717
10.9193	54.8907	3.659
9.76528	47.1418	6.535
11.0533	60.3446	11.323
11.8055	57.4849	2.623
8.88367	37.8363	2.412
10.3636	52.9113	2.526
12.0888	61.9397	4.487
9.68933	46.8425	3.858
9.60518	50.7719	4.44
9.42643	40.1962	5.636
11.9482	56.124	5.441
10.4678	57.2019	11.604
11.5785	59.4696	4.89
9.38346	47.3479	4.352
9.45189	44.9171	2.734
9.86121	49.6397	12.711
8.91594	37.2509	1.206
7.23855	38.9997	0.912
10.3003	47.9044	4.25
8.90817	39.9528	2.858
9.70247	52.7754	3.699
8.504	37.6325	4.253
10.6643	56.7088	9.757
11.5427	67.4633	5.592
9.94643	47.211	9.399
10.9956	53.6018	2.462
10.3302	52.2709	9.727
9.34202	51.422	1.795
11.1526	58.5875	3.626
9.14236	40.964	10.014
9.40409	53.3561	2.016
9.6889	46.5944	2.082
9.22195	52.2389	1.638
8.55372	38.4487	2.676
10.2901	52.7926	2.223
9.89556	56.1609	7.616
8.82781	45.9473	9.646
10.1633	45.9043	7.55
9.54683	60.1724	3.546
10.3569	54.417	9.771
10.1227	50.6976	6.663
11.548	56.5849	4.778
8.44619	37.5054	4.179
8.46514	41.1793	12.146
8.04757	37.4038	1.795
8.5857	41.0367	1.981
8.81178	39.1837	3.038
10.5569	50.2549	2.252
10.8037	55.7714	7.298
12.7687	57.4679	2.604
11.7363	59.8117	6.311
8.2397	35.5302	1.22
9.892	50.8797	6.358
9.53348	48.3866	2.496
7.63811	33.4873	2.012
10.1001	52.2899	10.465
10.4501	56.8475	10.072
9.99137	54.1456	5.911
8.34095	39.5782	1.99
9.98514	52.4804	2.35
9.1835	49.5798	2.688
11.0309	55.4223	2.262
10.3435	55.4742	5.847
8.99987	40.2914	5.57
8.9527	36.9421	3.099
9.01653	40.1893	5.295
11.1631	59.021	1.427
9.53355	50.8803	4.639
9.91079	55.3053	3.426
10.3956	53.5243	9.112
9.37469	53.9591	10.735
10.9859	54.0545	4.081
9.06338	36.9774	5.135
8.89718	42.36	2.455
8.62898	40.4683	2.509
10.0154	59.5152	6.964
10.7767	53.8283	4.001
10.3769	55.5733	2.973
9.91451	49.6302	3.033
12.2943	64.6077	9.08
10.214	51.0677	4.723
11.0397	46.7087	3.288
10.6302	56.4053	4.056
12.7274	63.0536	9.585
10.1299	52.082	9.2
8.45174	37.7084	1.613
10.5149	59.0237	3.732
9.51654	51.4136	4.562
9.34585	52.3362	3.931
9.81484	49.7996	5.864
10.2113	54.2026	2.055
8.62591	39.8294	6.169
11.7475	55.5955	7.183
8.51105	41.5546	2.412
10.2134	53.8834	2.86
