length	config	time
8.72739	40.3455	0.601
8.48397	39.3885	0.858
8.60557	37.5037	1.507
10.2158	56.4428	1.397
9.31214	42.3769	1.144
6.82813	34.7567	2.493
7.34212	33.221	1.242
7.86271	33.8997	3.067
8.68927	51.2219	1.364
9.61192	50.5703	2.18
13.0619	64.5935	3.394
7.36135	38.8561	1.367
12.5295	64.98	3.753
7.16236	35.6489	2.659
11.6301	58.6755	1.402
8.51732	43.4863	0.568
6.78483	31.0377	0.57
10.1997	51.7943	2.109
8.9129	48.1617	2.138
6.62427	32.446	0.627
9.12556	41.9993	2.119
9.90808	48.9997	3.589
10.0868	44.0108	1.689
7.85637	43.2206	2.642
8.0066	40.0506	1.273
8.39295	42.6957	1.803
9.4795	48.5199	0.918
9.60449	45.0009	2.561
10.7453	44.52	0.831
9.2103	49.9968	2.166
8.60572	48.9725	1.083
6.96225	30.7153	0.709
8.43166	33.8657	0.405
8.69625	34.7532	0.832
10.1176	54.6966	2.605
11.0218	54.788	2.436
9.80968	48.1707	1.22
11.083	59.9712	0.614
8.83976	46.9948	2.678
8.32418	36.4733	1.55
8.76698	39.9872	0.978
9.27275	42.9507	3.249
10.0822	50.696	2.355
6.40967	28.2003	0.854
10.8616	55.5112	1.22
9.2985	44.2017	1.178
8.8543	40.023	1.654
11.0249	56.1078	2.643
5.93603	23.5126	0.55
9.75709	46.1891	0.836
