length	config	time
9.59306	52.0829	3.008
9.34428	44.1317	6.403
10.1575	53.3841	5.076
9.83004	44.8951	3.232
9.50531	50.4096	7.181
9.97071	50.7584	4.664
9.99924	44.6449	1.925
8.24199	39.0437	8.973
11.2937	53.9647	4.735
10.3195	43.4352	2.728
9.10479	44.4099	4.213
12.2991	66.2768	6.313
8.97588	48.7048	1.361
11.8387	57.4076	3.778
9.84342	50.5811	1.104
10.5277	53.6652	0.889
11.812	54.8909	2.476
13.9098	69.6621	5.032
7.81463	35.5098	3.417
12.4369	67.4463	4.051
9.80936	53.8261	8.401
9.45195	50.6292	2.548
10.7713	50.6609	6.158
11.137	49.5947	4.856
10.6319	59.2196	4.208
10.638	53.8074	2.761
9.99855	52.5699	3.821
7.79122	33.0608	1.269
11.0273	57.4185	6.315
10.6789	56.7696	2.829
8.31917	34.9134	3.758
8.30379	37.5871	2.727
11.9957	54.0232	6.006
9.70262	48.9845	2.411
8.45929	44.3307	7.111
9.92275	50.59	5.038
8.12599	42.6789	2.81
7.69451	35.3859	0.78
9.61023	47.326	1.089
11.5565	55.6766	6.842
