length	config	time
4.81555	49.1037	278
4.21078	47.0789	275
3.89866	36.6252	336
4.51412	40.3778	256
4.04562	44.0485	388
3.57783	34.0594	671
4.55371	34.6598	181
4.24548	36.8712	307
3.28029	31.1376	688
3.60069	27.4522	442
3.45055	38.8431	437
2.47774	28.8149	217
3.66902	28.8264	107
4.26337	37.4903	309
3.31132	37.8375	148
3.99229	39.1888	240
3.10773	39.4435	166
4.48775	34.9171	486
3.13922	39.4218	432
3.35736	39.2095	193
3.53339	44.1646	317
4.6459	58.6797	326
7.57262	51.0039	534
5.2347	46.8421	139
3.67259	38.8998	263
3.64381	40.3996	153
3.61449	31.9936	597
5.53077	48.6551	409
6.55846	43.4631	344
3.91759	37.6655	280
5.26679	37.984	361
3.74298	33.0864	98
3.54005	42.2137	940
6.16237	68.118	595
3.41259	25.8556	318
3.44519	37.0019	634
5.75731	51.3616	709
3.12102	26.1514	424
8.7726	62.9648	380
3.04506	30.0614	64
3.25021	28.8076	138
3.45396	31.0206	76
3.68397	44.4319	230
4.67017	44.8351	355
3.53284	39.6722	232
4.50107	57.1051	401
6.00343	47.8918	298
3.53598	31.6912	121
2.92637	23.3668	364
3.58464	25.6727	65
4.70635	48.4563	289
4.25027	56.5496	904
4.10116	25.1915	479
3.65446	36.4956	97
3.07098	36.4817	399
3.12311	50.3412	200
3.90783	39.1456	282
3.45352	28.3305	96
3.76585	32.7072	399
5.01454	66.7833	1858
5.68077	43.2405	223
6.67978	51.3845	227
4.85968	39.1054	654
3.12167	24.5425	616
4.36031	39.4663	320
4.23965	41.8062	344
4.29718	37.7329	221
3.30853	29.6649	111
3.08232	29.9075	86
4.36282	37.1844	437
4.77406	47.9494	440
4.7275	44.207	228
3.96161	31.8252	104
2.81764	29.8447	335
4.57611	30.4968	898
3.60437	30.6681	678
4.29846	58.6027	472
3.9721	44.4819	180
5.72456	44.6175	908
5.50588	53.623	1110
4.37938	36.6872	399
5.41852	38.2603	176
3.67909	36.613	100
4.98571	33.6253	169
2.90198	27.1474	128
4.43861	37.0688	217
2.76202	30.3288	218
4.15975	38.563	504
7.54196	68.1915	429
3.47746	28.1823	334
4.01882	37.8616	230
4.43846	50.2338	371
5.83691	52.7072	1082
3.81485	41.5472	539
5.1076	49.208	539
3.04739	28.0621	95
4.38607	38.7379	771
3.97376	35.0033	347
3.55674	34.5395	95
5.51783	43.5827	281
