length	config	time
10.2581	55.7016	5.609
9.62309	53.9292	1.501
9.9069	49.7793	4.535
10.8157	51.5542	6.286
10.515	57.8873	1.227
11.2164	54.5732	2.762
12.1727	62.5282	2.414
8.71413	43.3019	2.377
8.67987	44.1911	6.68
8.02022	36.9971	1.658
10.7678	46.8293	6.363
10.7152	55.1337	7.388
10.0371	48.555	7.105
11.6045	46.3726	6.72
10.0002	46.9986	2.809
11.1326	52.7509	8.842
9.0216	40.9776	6.62
10.7227	53.8643	3.039
12.3128	62.9102	7.966
9.31509	46.4695	5.514
11.1305	59.4124	3.537
11.6712	62.6794	4.509
9.25538	38.9598	2.408
9.21046	40.3568	1.576
10.1726	59.6835	5.927
9.32595	46.0816	2.096
9.77968	41.7717	6.738
9.4426	42.4068	2.041
10.1995	58.3855	6.221
8.99239	49.1305	1.568
8.61426	46.2455	3.89
10.5716	52.6324	1.758
11.8684	59.2698	2.117
9.19578	48.0396	4.449
8.55332	32.9533	1.538
9.51818	46.4691	11.599
8.39216	40.3027	2.737
9.44239	45.8501	3.065
8.81313	45.0487	1.165
12.3057	71.5422	4.979
11.2585	58.0259	5.712
10.0639	45.0497	1.057
8.56153	39.2826	1.846
10.8788	56.7983	5.435
9.38584	54.3861	3.992
9.22325	46.3527	3.17
10.4021	58.0115	3.182
9.78524	51.3734	1.366
10.9294	53.7253	9.492
10.5079	52.9974	1.349
7.85073	35.7667	1.419
8.55756	49.8851	2.044
11.9879	53.1851	9.453
8.03455	41.6113	7.911
9.02437	43.4568	2.357
8.47886	32.53	2.362
10.7149	55.6909	5.723
8.81704	45.4427	3.909
10.8619	53.6603	1.87
10.7245	57.2155	5.841
10.3552	55.8566	7.458
11.3524	62.7917	14.069
7.77	46.0278	2.268
9.22252	43.3786	4.347
9.66671	48.0986	5.992
8.541	38.3845	6.091
9.32619	45.1927	6.882
8.02286	34.4025	1.373
10.6408	50.8277	7.159
9.09883	42.1056	2.339
7.24323	28.8633	4.857
12.0988	56.697	2.898
8.69702	45.4893	2.34
8.32356	40.6858	1.508
9.82909	48.9347	4.636
11.4268	61.2591	3.56
9.92497	45.449	1.37
12.5717	65.7029	9.081
8.81341	38.1654	4.098
11.054	52.2425	3.872
10.0038	48.536	5.223
9.94663	46.0219	5.951
11.7353	54.8327	4.234
9.73975	47.0486	11.137
11.5147	54.2369	3.434
9.61562	50.328	4.177
10.4024	54.0679	2.111
8.99525	43.8016	3.943
8.50944	45.2338	2.516
12.2192	60.6778	5.964
11.4767	57.4838	9.373
8.10589	39.1415	3.567
12.0298	58.3199	7.74
12.0336	64.3736	5.327
11.7239	54.8758	4.524
12.4843	59.375	4.515
10.1138	52.6421	2.47
10.2087	50.5002	5.292
10.0109	50.1979	2.313
9.8458	47.2515	4.407
