length	config	time
7.45009	37.1629	1377
6.57924	25.0799	648
7.03466	32.155	1050
6.8574	29.8316	1238
6.06653	27.4297	565
6.10778	23.7448	723
6.56869	29.0427	730
6.00575	24.1528	450
6.86826	32.8219	1748
6.67207	27.2363	1132
6.77218	30.1284	1038
6.18573	25.3309	801
6.33976	23.8159	1533
6.75291	30.1851	917
7.3751	31.0388	1270
6.86275	29.2224	1551
6.48999	24.6868	893
6.06655	28.4334	1180
6.25772	26.2786	640
6.58398	27.2902	1483
7.05717	24.8924	827
6.01485	30.5164	1211
6.26861	29.4112	693
6.1986	31.9012	2440
9.71644	42.9636	3491
6.57228	26.3396	1044
6.19717	23.1978	737
6.50339	25.95	1310
6.41659	26.9941	3681
5.82265	27.4798	851
6.68024	26.944	1010
5.73123	23.602	201
5.98315	26.4513	723
6.01834	29.5451	634
5.64135	24.8886	729
6.7854	28.4489	1114
6.50922	27.2301	834
6.58135	30.9081	1420
6.74878	26.9256	1350
6.8387	31.3488	1027
6.57011	28.8701	1150
7.73548	37.3359	1715
6.32469	24.5702	526
6.88301	38.0386	1823
6.32744	24.0512	743
5.51327	25.6602	901
8.9331	38.741	3226
6.91783	29.843	1132
8.01296	30.495	1611
6.06769	23.3227	471
6.61833	31.7151	1336
6.30155	30.3168	2163
5.79609	23.5881	1032
6.06693	23.0117	654
6.69023	30.0996	1305
6.01748	22.2405	312
6.67056	29.4188	893
7.62728	34.75	2180
8.64331	37.7723	3455
6.85436	30.3391	1323
7.9415	40.7117	1348
9.11616	36.5107	3371
6.43986	24.0332	805
6.85202	29.2354	1254
5.87266	25.7679	808
6.39526	32.2612	1346
6.94369	27.6699	2125
6.59999	25.5867	627
6.61156	26.4588	1172
6.42271	33.1123	900
6.62224	28.0247	637
5.70683	23.2563	364
6.18858	32.4245	1162
6.24983	24.2409	752
7.37175	33.4348	1433
6.48076	34.9825	1114
6.36222	26.8544	1596
7.22348	31.8358	1402
7.16749	34.2211	1221
6.30634	24.5815	713
7.34279	26.4066	874
6.78244	26.7521	883
7.31102	29.7217	1674
6.83086	26.5033	1036
6.28602	24.9581	1854
6.3382	25.6906	1162
6.62623	25.49	1081
6.46689	24.7261	469
6.53572	25.3796	754
6.32783	27.1238	1114
6.92611	27.3053	1261
7.14938	27.275	895
6.19875	27.5268	928
6.76827	27.7169	929
8.54256	39.4328	2187
8.35577	38.9441	2663
6.46206	26.51	583
6.44449	27.5632	899
7.95243	36.6901	2178
7.13375	29.645	1297
