length	config	time
5.77593	28.2672	117
5.49567	28.7285	167
6.26268	37.0598	364
4.99371	20.9418	55
4.83927	27.5139	86
4.66292	23.171	130
4.85943	20.2591	80
6.02101	25.7721	157
5.57026	25.5746	95
4.40896	22.7437	114
4.93853	25.2454	134
4.61807	22.3273	51
5.06993	21.7284	113
4.7855	21.1617	85
5.437	34.0456	193
5.60154	28.6915	178
4.50117	27.9048	150
4.755	32.4808	173
5.28375	24.2889	219
6.47689	31.9501	116
4.68868	27.0576	246
5.62636	31.3287	151
5.03289	24.4753	102
4.04386	29.2053	112
5.58552	32.5033	218
4.65019	22.3255	86
4.13139	26.1754	87
4.67223	28.1405	156
6.00464	28.4276	186
4.75976	24.0803	77
5.23964	26.3113	78
5.93865	30.7295	83
4.46897	22.6925	82
4.89992	23.5113	91
5.30389	23.0577	77
5.11169	25.2188	260
5.23269	37.5024	167
6.26851	36.6747	176
4.95623	21.5715	78
5.29769	27.9224	78
4.43602	27.0275	97
4.83559	24.7443	154
4.96389	22.0531	71
5.34901	27.6634	165
5.72475	31.6932	222
4.48811	21.7925	114
5.94285	35.7705	257
4.86403	29.5171	154
6.48937	30.6554	92
5.17756	27.5682	129
4.72407	31.4558	105
5.16429	30.857	242
4.68002	23.0213	194
4.92074	20.4359	97
4.58681	22.8564	127
4.89766	24.7251	93
4.18436	23.171	154
4.80463	24.6217	94
5.23451	25.5906	114
5.1024	31.2534	205
4.87183	22.4471	75
4.66468	22.6067	86
5.10527	24.2055	112
4.79539	22.3031	71
4.26749	21.2881	78
5.00326	24.4463	82
4.70589	20.59	83
6.82112	38.4291	252
5.20344	29.6312	159
5.75366	27.526	64
5.12447	29.0292	206
4.79716	22.2636	83
6.67318	38.646	158
5.14892	25.3463	67
4.86464	23.4891	76
6.37796	35.4312	230
4.88804	20.9766	65
4.70874	24.1468	87
5.21577	21.1539	260
5.09777	31.1914	154
6.18958	28.319	114
4.50471	30.6776	194
5.2394	22.5484	125
4.55201	24.1513	104
5.21683	25.9312	88
6.1959	28.6021	352
4.68686	25.8047	103
4.70756	23.6339	97
4.67351	20.3215	104
5.64496	42.7515	225
4.26727	19.9557	92
5.45447	31.3126	240
5.19787	24.225	92
5.4577	25.7102	105
5.23266	29.1212	157
5.04423	25.1652	103
4.91018	24.2725	119
5.3346	29.0234	246
5.11754	23.1651	131
5.82417	31.5918	145
