length	config	time
3.76438	28.4255	494
4.09136	41.5886	740
4.0383	39.1626	337
3.16709	27.5992	187
6.30889	53.5365	482
5.39005	46.9211	304
10.3167	65.8736	670
3.3645	45.8684	392
6.97905	59.3313	323
4.47723	55.4392	350
3.56621	38.3511	151
4.41163	31.6433	359
3.11983	37.7333	211
3.75797	32.9924	81
3.6581	39.2884	135
5.57427	52.9939	451
4.13369	37.0786	230
3.51198	42.4733	312
7.23637	71.0955	750
3.98763	37.2571	184
3.47793	35.6395	189
3.00426	31.2879	190
3.82119	41.3774	483
4.05893	46.9673	679
5.0193	46.5833	337
7.07665	60.7325	421
3.70305	25.3284	794
4.58993	46.4668	340
3.23127	29.4559	168
5.04787	48.6404	325
2.57686	26.8576	482
4.63454	54.3237	216
6.09464	50.8198	616
5.25907	48.0996	335
3.62306	31.374	75
3.93097	51.9804	245
5.73109	58.4695	304
3.62233	30.2111	267
4.49316	45.4253	177
4.34779	79.9769	519
4.42794	56.9474	496
4.5276	51.5487	247
4.7629	46.8405	356
6.56842	48.0381	579
5.13209	54.1935	190
9.245	61.0236	836
5.04177	39.7935	452
4.89975	43.6953	681
3.54291	40.0717	164
3.67102	39.6477	195
4.67638	43.6449	838
5.03117	43.0741	202
4.28411	39.3229	572
2.6536	24.4791	98
4.02714	39.4383	538
4.24174	42.9149	178
4.31988	37.4102	92
4.52981	40.4746	449
2.85922	30.234	139
3.38489	27.2557	282
4.40646	46.3294	421
3.33894	31.7899	609
4.11201	26.4412	169
5.02478	39.1575	377
4.13963	41.8477	253
6.24145	39.223	498
4.44167	40.6907	272
3.47048	37.987	508
3.21906	36.3753	141
4.08687	31.7856	273
3.13185	29.9259	422
4.52701	40.5469	248
3.33437	44.6546	268
3.27763	36.6914	134
4.21271	35.6494	242
5.8685	45.9737	891
5.38865	44.6919	416
3.25845	35.8798	374
5.67092	57.3851	952
5.58551	51.8279	345
3.93448	46.8343	487
5.3474	50.8112	1058
5.28336	41.764	397
4.16681	48.0864	253
4.93632	60.1649	353
4.7953	39.7338	472
6.56011	54.3049	239
3.27452	30.8948	417
3.27536	28.8519	388
3.69622	32.8731	110
4.51731	42.8053	161
3.95243	35.9601	806
2.83807	21.2377	61
4.06281	33.7774	504
5.12498	50.1707	252
8.24219	63.2813	382
4.64216	47.2727	167
2.52931	25.4075	306
4.83746	49.7182	451
5.15625	51.9326	381
