length	config	time
4.7996	24.3766	128
5.60266	24.6852	158
5.15323	30.3377	299
4.83431	22.0865	52
7.84745	38.9184	186
6.31446	29.2342	306
5.18848	27.3222	149
5.39267	29.9122	247
4.94744	27.1263	104
5.5343	31.1077	234
4.5613	25.7271	124
4.85086	24.2764	163
4.73921	30.0215	206
5.87626	31.022	132
4.89602	26.4289	208
4.96924	28.498	111
4.84626	21.8717	55
5.93524	25.9391	115
4.92058	20.4795	98
4.61336	28.9827	121
4.78102	24.6608	107
6.07762	32.3092	233
5.57698	32.9661	128
4.68051	19.5237	64
5.74556	32.9873	231
6.21081	25.9185	120
4.878	19.6879	52
4.53618	22.957	76
6.01061	33.0397	166
4.71431	21.875	86
5.8877	27.919	111
4.99838	29.9286	134
5.23324	32.5351	135
5.8614	32.2638	147
6.95372	34.9717	270
5.55333	32.1598	120
5.01976	20.1466	102
5.98619	29.271	208
5.31933	28.9762	110
6.22313	34.469	216
5.34805	26.8129	208
4.76103	24.7856	104
8.10043	39.406	233
5.91089	36.1959	128
4.22381	24.6366	76
4.76973	28.5543	270
4.51314	21.3002	64
5.19874	25.535	280
5.57197	29.2814	117
5.69292	25.5322	102
4.94432	28.4614	246
5.25736	29.4293	303
3.84468	27.1384	98
7.74598	42.4984	226
5.02934	22.1217	84
4.60812	27.2238	285
5.03669	25.4059	73
4.52699	22.7321	85
4.01595	20.5462	79
5.42885	30.1349	99
5.20914	29.906	241
6.55438	36.0221	148
5.05569	19.6356	65
5.37619	28.8902	102
4.60024	22.1284	163
4.92467	34.7372	159
5.16967	29.9472	152
5.12066	26.3465	96
6.28318	41.5043	291
4.69987	30.7494	158
4.95495	24.1034	96
5.09755	34.3853	244
5.78829	25.4275	151
4.40381	26.5284	134
7.02739	40.3541	244
4.84623	22.4537	116
4.75055	22.0921	90
4.81828	30.379	196
4.70247	27.1274	114
5.14461	27.966	148
5.08009	25.7133	92
5.76264	32.7886	159
5.42371	27.2749	144
5.83112	32.6264	130
5.57682	24.8222	88
4.77485	19.3719	110
6.26231	32.7836	131
5.3441	32.3091	134
5.35959	26.5757	168
5.66245	24.4208	77
5.99628	44.7417	353
4.8393	27.0241	193
5.40017	29.3457	106
7.09986	36.8634	161
4.51869	20.9035	92
5.47698	30.2719	204
5.05622	25.8884	193
5.3601	28.4713	108
5.0498	25.0068	114
5.21281	28.1483	85
