length	config	time
3.49013	35.0118	165
3.85465	28.5942	225
4.07979	30.6302	592
4.22295	36.7668	132
7.02004	59.7588	402
4.91248	38.1147	292
5.34381	66.4367	533
3.41576	34.8209	401
4.11175	36.1239	237
3.59637	30.0927	117
6.70388	51.7346	375
3.53653	46.5824	356
2.79958	30.1059	199
3.79077	39.7567	186
3.64038	43.574	132
3.54607	32.3829	333
5.3382	38.8492	562
5.05865	42.5329	91
5.9109	68.3546	253
3.61577	39.5168	144
6.28256	38.9333	514
4.58076	43.2517	237
4.26188	46.1309	564
4.34432	54.0297	541
2.46368	40.5447	240
5.44199	48.371	167
3.52824	41.29	958
3.81726	40.4863	466
6.46258	50.2789	337
5.29926	51.8102	612
5.19143	34.387	288
3.41978	40.2681	339
4.33153	39.4015	415
7.96532	72.8589	300
3.06671	34.2298	129
3.94749	30.2875	1068
4.37371	38.7298	489
4.00768	36.7688	119
4.61898	50.8534	380
6.85735	54.024	463
3.80066	45.5347	239
3.99265	31.8181	757
3.72796	44.8982	451
6.56992	53.5038	273
3.8485	41.979	435
3.49348	22.7648	201
4.12905	42.6786	484
3.89476	55.5268	170
3.95869	39.2668	331
6.93466	56.8077	761
5.06366	48.9406	531
5.32586	57.5539	245
3.20472	32.8794	79
5.17602	48.3505	290
4.48107	41.4469	620
5.44783	87.9379	575
4.01013	29.9128	487
6.99631	48.5352	502
3.01695	33.3153	293
3.39238	25.9435	152
6.19915	59.5343	1199
3.16218	24.4981	158
5.50703	46.9641	290
3.45197	24.5881	157
3.37359	39.5053	338
4.11949	48.5584	664
2.76494	24.6139	80
5.88479	40.1992	546
3.86689	29.5514	192
5.91486	44.2435	237
6.75331	57.1192	425
2.8005	24.4353	449
3.85553	23.5773	91
3.80765	40.5728	632
5.3989	47.1868	351
3.82284	37.4398	275
3.45958	29.8235	112
2.39734	26.4374	86
6.38106	47.696	369
4.53481	42.9264	646
4.63625	39.5865	211
4.50868	37.898	320
3.66742	36.4193	191
4.51908	34.7216	189
4.3853	31.4133	174
3.57961	42.4422	294
3.97609	42.0698	177
3.96421	38.8146	245
4.32765	50.5576	321
4.54518	39.4484	303
4.37995	48.4657	795
3.38041	29.8449	189
3.90692	38.4264	235
4.75146	51.9348	230
3.43189	41.7366	164
3.51215	40.5254	215
4.53053	47.199	265
3.37592	35.8444	174
5.51925	44.4373	309
3.45651	31.5173	147
