length	config	time
3.73801	35.766	565
3.88461	21.9896	464
3.11249	37.8521	200
3.5443	33.1254	237
3.73241	36.7769	179
3.91655	33.6912	235
3.86212	35.8298	256
4.16217	41.8072	647
3.42423	39.673	162
5.46991	40.5815	706
4.85274	40.3537	346
3.92948	31.964	425
4.39402	41.1767	387
4.06067	51.3067	305
5.21865	45.1556	838
3.25692	37.8699	350
3.3978	37.1641	209
3.5798	35.9343	574
4.71429	60.4111	279
3.34432	28.2215	203
5.26713	44.83	890
3.79807	33.026	422
7.707	55.2746	1357
4.26712	41.7554	540
3.46468	32.8199	228
6.31009	53.2034	850
4.32395	44.6128	314
3.60859	34.2878	139
4.11266	31.899	481
7.22006	70.635	844
6.9988	55.7726	594
4.71571	40.0631	424
4.38559	43.8762	719
3.94421	37.9206	113
3.49066	38.0656	253
3.69494	43.2034	369
3.86181	42.2333	288
4.09293	54.0367	388
4.25262	41.342	545
2.96108	31.3955	79
3.86325	35.331	394
5.98309	56.2061	383
3.60499	28.6535	351
3.39393	28.5177	157
3.21989	39.7703	228
3.74536	32.7936	386
3.81548	32.2748	88
4.69194	48.1688	718
4.52684	48.4959	1278
6.05637	60.947	312
3.31572	46.3858	208
3.34824	26.0635	419
3.47937	33.4691	337
2.58061	28.1876	276
3.35032	34.5075	144
5.02604	71.4332	786
6.15323	50.5795	463
7.06097	72.2838	1109
3.776	33.2658	717
4.19533	36.2562	164
5.02453	37.0999	711
3.1769	33.5722	183
3.67992	37.5738	343
5.78392	46.049	250
3.36371	26.4443	116
3.37296	45.3876	434
3.26725	23.8488	267
4.85151	52.0381	226
3.77783	28.5164	321
4.40263	32.2515	457
7.75741	66.3651	641
4.61583	37.9888	286
4.66828	59.4803	633
5.18789	53.4986	382
3.38223	35.6015	132
4.06425	45.5479	131
5.18845	53.5052	1066
4.24571	39.8354	588
2.89591	25.7873	91
5.53057	64.588	868
3.54703	40.2173	508
4.2331	31.4389	387
4.39578	35.5154	158
3.26207	31.9004	88
3.92047	27.714	397
4.17089	41.6434	225
6.50651	49.5013	431
3.56457	32.2816	204
2.8346	28.537	115
5.51745	51.5932	429
3.87169	42.8972	328
6.03552	40.5017	468
3.01759	33.6179	170
3.11156	31.0224	325
4.75411	44.1915	291
3.17173	33.0693	548
6.69226	57.1209	658
3.24959	28.3695	189
4.60946	31.9247	292
4.02056	33.5244	356
