length	config	time
11.0684	52.0699	3.251
10.756	52.6325	3.229
12.2809	60.8761	7.428
12.8739	65.4906	5.67
12.0659	63.7151	8.768
7.73684	34.8766	2.154
11.8501	49.9711	1.944
8.78116	42.7085	2.032
10.5319	51.9042	1.904
9.76103	48.6916	4.084
9.37562	51.6813	1.565
10.8007	58.541	2.981
7.18513	32.1938	3.276
10.114	50.1587	4.134
9.46993	45.9492	4.943
8.64603	40.4841	6.836
9.25495	43.8736	7.149
12.4565	60.5396	1.904
10.6224	51.2569	2.135
9.49412	45.7182	9.842
10.1084	44.4378	4.726
10.5108	50.1623	5.491
7.74046	38.3786	5.063
10.945	57.5877	4.443
9.66422	43.5732	4.347
8.65991	50.5896	4.901
7.54834	36.8138	2.007
8.03732	32.961	7.808
9.21905	47.8211	7.438
14.7152	77.1622	4.853
11.1263	64.8127	3.66
11.3809	55.603	3.435
10.0408	54.4485	8.509
10.1951	57.4636	10.91
7.89686	39.2177	5.212
10.0068	54.3414	2.812
7.74603	33.7361	1.886
10.7499	50.52	4.324
10.8839	49.1701	2.401
8.48238	40.1743	1.635
