length	config	time
8.41288	51.5294	0.159
9.02411	61.3491	0.97
9.43498	73.6493	1.093
6.25566	40.9079	0.09
8.03741	52.7648	1.672
4.95318	28.6365	0.103
5.94943	37.0562	0.153
9.64983	57.7019	0.736
10.4385	55.5989	0.309
10.1315	57.6726	0.282
8.7908	44.4479	0.197
8.85233	57.8619	2.765
10.5192	55.9987	0.841
7.77898	42.6984	0.3
9.11661	57.9317	0.568
8.67701	62.7463	1.111
7.13724	38.5927	0.074
12.9573	71.0862	0.876
8.01679	65.0228	4.364
5.49657	35.4509	0.303
9.92425	64.562	2.336
7.15234	48.8881	1.136
7.35308	50.4428	0.324
6.52445	31.2577	0.014
12.6545	76.8965	0.857
7.41941	45.7997	2.507
7.5794	46.6749	0.179
7.21826	53.7528	0.138
6.92139	37.6347	0.7
12.2131	74.9985	1.292
11.9599	58.9597	0.874
7.86333	45.7851	2.778
8.52996	45.5213	2.252
7.28467	46.8683	0.128
8.82856	47.3215	0.395
9.55143	57.3696	1.761
9.13263	58.2741	0.848
7.86943	50.7676	1.166
11.5554	58.8073	0.85
9.85075	56.2642	5.092
12.0213	67.4034	0.256
7.11025	37.077	1.52
9.07527	47.7215	0.633
7.58797	47.3871	0.754
10.7985	56.1478	0.717
12.0185	89.3717	0.66
7.77049	36.9611	0.142
6.1399	42.3595	0.095
9.66141	46.3683	0.058
8.98271	58.1379	1.049
