length	config	time
7.76187	35.886	1.322
8.64618	37.5769	2.797
8.30871	45.8358	1.959
9.68685	44.9722	2.509
8.04366	36.2987	4.003
10.5408	56.6999	3.857
14.3193	68.9461	2.286
7.7001	43.9915	8.736
10.2786	56.5477	3.06
10.9218	57.4597	1.99
10.8469	56.9119	3.096
9.52714	45.559	5.308
9.63239	40.9137	2.713
11.7247	61.0881	5.264
9.70241	51.1052	1.99
8.72778	39.2488	3.5
9.86165	46.5422	1.973
8.85892	38.7133	1.797
10.1271	49.2144	5.173
10.5378	42.0067	8.246
8.39105	38.9593	4.583
12.42	64.1092	3.392
9.88858	50.7486	2.242
10.1116	59.9365	5.594
8.62667	43.3085	7.161
9.80891	51.6745	5.146
10.5918	59.3799	4.937
10.6335	53.9842	9.622
9.20128	45.5711	6.57
11.6922	50.7313	8.91
10.113	47.5375	2.117
7.72808	34.3635	9.205
9.98148	49.744	1.507
10.2578	49.0566	3.543
12.0689	56.8441	3.933
10.0803	50.0711	2.487
10.3891	55.3924	2.022
8.95026	39.0487	2.977
8.81235	39.2434	4.39
11.3049	57.391	12.591
