length	config	time
9.38082	51.3583	0.665
9.65249	58.318	3.924
10.2104	52.334	0.805
8.98797	53.9601	1.799
6.3388	28.0611	0.073
9.24733	39.4466	0.353
8.1035	43.1974	1.062
9.04348	54.3755	1.876
6.46278	36.1206	0.037
8.8694	55.0246	1.208
12.1934	63.2854	0.43
10.8811	54.8628	1.049
10.0643	51.0209	0.563
9.07426	45.236	0.815
6.48165	34.9568	1.583
9.06052	52.6315	2.406
9.6078	43.1923	0.146
7.94234	50.891	2.323
10.0004	48.9825	2.036
6.48888	35.0159	0.057
7.36145	33.622	0.039
9.88648	52.3331	1.835
11.8492	60.5554	0.829
8.58539	49.4002	0.273
9.63689	45.6713	0.216
9.85687	48.4441	2.015
7.76108	36.7282	2.506
8.5485	48.7127	2.606
15.9812	79.5326	1.461
11.4228	64.0919	2.299
11.1406	56.0417	1.789
6.83091	41.66	0.679
9.50282	45.4882	1.048
13.9656	77.3788	1.336
8.7732	45.4284	0.554
7.01329	37.342	0.173
7.33787	38.9391	2.288
7.75439	44.4389	0.408
10.6158	58.683	1.237
6.70011	28.3217	0.095
9.18774	51.5208	0.43
9.16487	47.3484	0.438
10.4665	51.4716	0.701
7.65479	43.7331	0.68
9.14035	63.1639	0.749
9.57195	56.8328	0.949
8.57506	44.8658	0.7
10.4606	69.7782	1.971
11.4119	70.0083	4.491
8.90097	52.8252	0.407
