length	config	time
5.04047	40.2822	187
4.80939	32.8268	110
4.366	32.0951	220
5.77375	36.9794	246
4.5466	26.3452	91
4.08559	26.5143	165
3.51059	25.5156	93
4.72624	31.5847	109
4.35726	32.497	198
5.25108	32.9965	113
4.00401	34.3774	161
4.30725	25.3854	116
6.80017	48.1965	254
6.79885	52.0406	326
5.02978	32.1285	99
5.10383	36.4598	163
5.06989	36.351	342
3.77163	22.6807	107
4.26004	26.3927	129
4.67408	28.4053	164
4.34911	25.5103	69
4.79784	26.9611	237
4.01227	23.9127	89
4.58836	32.4432	113
5.6448	29.6145	441
6.70688	37.6662	228
5.42941	35.0556	170
5.66783	34.7551	254
4.49373	30.0896	129
3.93753	23.9525	66
5.41251	43.3943	154
4.97626	25.7334	125
3.96451	19.967	82
4.23777	30.254	114
4.74782	30.0764	266
5.54097	31.2106	78
3.67084	18.6637	54
4.18627	26.6694	130
5.98162	35.4709	110
4.41118	24.3852	124
5.31468	32.8663	171
4.34353	26.2537	95
4.33119	24.611	84
5.02206	40.1457	238
3.41672	25.185	206
4.40143	26.128	97
3.8835	27.7504	207
4.31297	27.1061	168
6.21164	47.0342	256
5.25177	32.9169	195
3.81528	25.6094	112
4.41642	33.6629	168
4.40886	36.7153	327
3.75863	23.632	340
3.83919	23.3966	85
4.08566	29.8316	91
3.93914	22.9063	143
5.24232	36.9943	325
4.14104	27.5127	198
4.07596	29.1968	190
4.56693	32.2124	250
5.76257	34.8287	332
4.34896	27.8054	264
5.08249	32.4163	339
3.64547	27.3632	84
4.38482	28.9456	248
4.00583	24.6096	80
5.85977	41.0441	169
4.22856	27.3393	88
6.17247	42.0839	141
3.69079	27.6703	165
5.99348	30.461	355
6.12345	50.0395	389
5.66867	33.5048	153
4.92168	26.5209	99
5.05269	49.0057	238
4.2538	29.5645	196
3.80551	24.448	128
4.26989	24.5734	220
4.60107	29.4397	97
4.15888	32.3023	105
4.15011	26.3363	539
4.00251	23.2601	149
4.10554	25.9532	234
5.59482	35.9719	228
3.8114	29.0584	110
4.20279	35.9395	199
4.58179	25.2583	92
6.42154	37.2581	404
4.38778	32.8948	331
4.10649	24.4899	95
3.93838	30.2919	120
4.57951	25.5119	142
5.93542	40.631	363
3.78043	32.0469	341
5.00903	33.5521	638
7.69221	48.4574	450
4.33625	27.752	340
4.28933	28.521	123
3.9937	24.5902	123
