length	config	time
5.87599	37.8556	404
5.54461	33.2266	214
6.95427	39.4699	186
4.6319	28.122	311
3.93695	23.2522	97
4.76824	31.4388	90
3.95711	26.946	149
5.66831	30.9125	340
6.66932	36.9722	298
4.0079	30.9458	168
4.27348	22.1588	66
5.14959	33.5532	161
4.83827	39.2084	186
5.29739	41.4636	351
5.34914	33.3393	188
4.59311	34.6815	384
4.88711	36.6019	165
5.43025	30.9585	108
3.59961	20.4536	117
4.0601	21.3621	55
4.39968	29.7978	197
4.13876	23.8098	70
5.44162	29.7552	115
4.73579	28.9263	131
6.90032	39.5246	140
5.23731	39.2457	201
6.80539	36.0401	160
4.36977	22.7166	68
4.66272	29.1705	174
5.07634	31.1371	95
5.41046	35.6469	360
4.18132	26.0659	80
4.31337	26.2214	143
4.43	25.6334	138
4.26019	25.081	167
4.30291	28.3531	124
5.01105	31.4149	454
4.62555	37.8736	283
4.55365	26.1889	114
4.09377	28.0974	197
4.71724	26.2403	145
5.80581	38.6845	213
5.29262	38.0241	305
4.60165	27.0252	107
4.43608	27.8502	107
6.1926	28.9974	149
3.75121	23.7595	187
5.13271	34.6052	269
4.5607	32.0099	349
3.81563	23.7833	64
5.81145	37.4812	323
5.47018	42.8693	303
4.94672	36.0673	274
3.94713	24.2209	161
4.33678	23.1591	92
6.78656	32.537	172
4.05359	23.3814	71
4.7172	29.0937	98
5.14296	27.7045	111
4.55598	22.2129	181
4.55576	30.9674	185
4.15785	25.1127	102
4.75492	25.9689	193
4.55079	29.6365	250
4.79802	25.8243	109
4.23522	25.6801	110
7.43243	45.1195	279
4.75919	32.0522	159
4.99921	32.9381	332
4.086	32.7752	203
5.02649	30.6424	181
4.81912	32.774	114
4.31169	21.7486	71
4.25475	27.0478	131
4.74233	25.2831	121
4.25384	30.0017	222
4.19135	22.591	174
5.50115	39.9699	205
5.55602	30.8818	166
4.01971	20.3676	127
4.55006	34.7748	142
4.05757	31.2635	93
4.23096	22.4709	83
4.58091	26.3069	179
6.10514	34.3801	328
4.28085	31.9959	290
6.92087	47.3532	208
4.60104	29.3718	245
4.82631	31.0942	127
7.79116	50.1122	489
4.11973	22.87	211
5.05373	38.0488	157
4.59848	33.9897	357
5.08703	28.3728	191
3.93256	24.3905	162
5.33187	32.2984	255
5.70857	40.4124	287
4.06753	24.6396	51
6.34032	41.0196	459
5.42057	37.3359	417
