length	config	time
5.78988	28.7272	421
5.59546	24.1742	114
5.56575	25.6331	136
4.83596	25.1681	126
6.09588	28.6523	131
6.69338	39.0118	206
5.21322	22.7516	126
4.68307	26.3327	87
5.1599	21.2603	76
5.38103	20.8473	90
5.24199	26.2856	141
7.05676	37.2565	297
5.47259	26.7677	186
5.04192	20.4736	50
5.97082	26.7176	234
7.49173	33.4169	108
6.08532	29.0676	126
5.06718	26.273	105
7.7905	36.7163	464
5.195	20.5124	117
5.32939	26.9221	431
4.98371	22.2802	108
6.45704	35.7727	152
5.52445	25.266	84
5.07275	23.5078	66
5.79517	26.3595	95
5.48181	28.8691	203
4.95565	23.1235	118
6.15803	29.9313	168
5.19637	21.5772	67
6.0005	38.3154	373
7.25822	34.2439	351
5.17689	23.5303	178
4.95937	22.3965	251
6.13335	26.9993	305
5.75069	32.2494	121
5.36248	23.0613	249
5.03054	22.0456	91
6.16209	29.6388	459
5.60403	25.4876	166
5.10228	25.6611	88
7.66262	31.2687	283
5.70588	26.8138	89
5.27117	26.1526	111
4.9102	20.9974	108
5.34276	23.9401	166
5.42219	31.7033	204
5.60479	26.328	122
4.93667	26.3056	98
4.94616	23.6648	72
6.54368	32.3715	202
5.72891	26.4918	157
4.9896	23.292	84
4.95377	25.4103	122
5.61981	24.154	282
5.19714	26.9231	185
5.34734	26.0288	98
5.15111	22.6647	76
5.7023	22.5785	93
6.47432	28.526	440
5.37229	21.6634	100
6.07222	29.6499	196
5.07699	20.0228	57
5.49202	23.6196	92
6.27786	28.5835	277
5.38309	24.9866	176
4.96359	21.6327	207
6.19295	33.3155	200
5.01026	20.4401	66
5.34416	27.5177	87
5.84327	29.1052	145
5.59313	25.2884	107
5.80794	30.9879	167
4.93629	23.2003	81
5.68435	28.1921	250
5.76446	28.3924	93
5.43672	24.0045	119
6.32546	32.032	169
5.82661	27.0776	95
6.21777	34.8355	337
4.90187	26.9547	135
5.30284	23.4535	155
5.11178	21.5149	70
5.1576	23.9681	144
5.5183	23.6535	96
5.26282	27.6191	101
4.79413	25.4253	116
5.91576	25.8106	229
5.09657	25.157	160
5.23156	24.5984	100
5.72348	23.6317	109
5.62183	25.4424	153
6.54973	25.1148	171
4.88463	23.4579	94
5.05381	27.8277	224
6.16025	33.3998	252
5.12481	22.1551	45
6.85442	31.758	235
5.04445	22.4706	123
7.95069	29.5624	217
