length	config	time
3.2764	35.1178	190
4.31361	32.2215	439
2.88186	22.0935	115
4.82616	37.4964	183
4.89503	41.3474	679
4.42453	42.3915	539
2.59037	30.3423	172
3.55484	27.4693	75
5.01891	48.9609	499
3.43738	25.4509	410
3.41567	27.0067	101
3.47257	38.3479	362
4.39987	45.2342	500
5.15095	51.3278	156
3.42383	40.7236	114
3.51328	37.9832	219
4.00058	31.2621	245
3.1481	32.8265	86
4.51909	52.4819	431
3.38452	34.6273	106
5.32627	44.9428	543
3.84369	32.3179	266
3.37687	38.3901	746
2.73003	26.6635	129
5.28058	50.2143	312
3.06993	31.6387	463
2.49664	28.1416	99
3.33269	30.9472	88
3.64094	31.1677	415
3.9328	42.3824	555
3.90016	31.5149	301
3.79792	45.2044	180
4.47309	38.9763	300
4.87542	49.9009	348
3.54242	34.6497	699
4.11482	44.5721	137
4.22313	40.0473	251
4.83522	44.0357	382
2.72653	31.126	289
3.78886	39.506	140
3.25882	34.0036	449
6.0128	48.4946	706
4.00255	41.2361	595
3.27912	25.7356	91
3.44568	32.515	715
4.53843	48.8222	344
5.15112	48.7649	311
5.84643	60.5438	297
5.88939	49.6869	608
8.68798	64.5808	770
3.4516	38.5918	260
3.71744	40.9454	142
3.71986	30.4267	372
4.43338	47.6912	636
3.58613	23.7731	224
3.52572	38.8075	548
4.47	43.2848	218
3.61962	39.8877	152
3.42578	28.5929	328
5.59026	37.3149	331
5.95378	46.6933	481
3.06793	41.0935	508
4.7428	37.0108	417
4.57311	41.5499	1162
3.91315	35.0148	144
3.53593	38.6405	90
3.94459	39.9866	139
4.45864	46.1424	531
2.93229	25.228	82
2.79686	24.5191	319
3.44425	33.3094	172
3.62797	40.9583	143
4.30971	37.0374	542
2.87306	32.841	535
3.97978	27.8713	86
3.43056	27.067	194
5.28464	69.2138	608
3.6234	30.1495	642
3.47345	34.4012	183
5.47282	55.7033	795
4.30223	44.3321	122
3.75696	31.1481	173
5.0563	39.3835	236
3.30973	32.94	128
3.82988	34.959	146
3.5834	30.5448	260
4.26914	53.0041	288
3.49681	32.3005	89
4.27099	36.0589	210
4.01656	34.4594	140
3.56911	41.643	555
3.29266	29.5203	188
3.86867	40.0353	296
4.2819	40.5963	251
3.8067	33.7884	453
4.89234	39.4599	527
4.65304	36.7069	365
4.77391	41.0179	247
4.37004	36.0696	264
7.98299	63.9943	983
