length	config	time
7.98194	41.5169	3.244
8.86803	41.4026	2.104
11.1092	55.5281	12.532
8.7461	39.0931	7.933
9.1985	50.2096	2.131
10.6423	51.3404	7.546
9.16609	47.0458	2.904
9.90976	44.55	2.752
11.5627	55.0082	10.324
8.69297	44.4307	3.078
11.4667	55.1323	2.116
9.08565	47.0206	2.912
9.64555	40.6562	3.995
9.99651	46.7515	7.187
9.22308	49.9981	3.993
10.177	57.9747	5.675
10.1177	47.1352	3.513
9.15968	54.5332	3.242
8.38233	37.6254	8.937
9.59037	47.616	1.414
8.70794	50.1406	13.014
12.5987	62.405	3.022
9.80446	48.2446	2.765
8.62065	39.1781	1.745
8.58688	44.6442	3.468
10.6029	48.7613	2.325
7.99428	35.6207	1.598
10.5799	52.4024	6.391
8.6783	38.5377	2.108
10.4869	55.7527	5.499
11.9861	55.1564	6.923
10.3143	54.2708	6.357
9.74079	38.8876	2.017
9.34841	52.8202	4.683
8.16185	36.9096	1.81
11.4674	55.2815	2.884
9.1987	36.4183	4.279
9.97317	51.5653	3.005
12.618	63.354	5.103
12.4652	66.46	4.94
