length	config	time
5.05919	30.5165	104
4.69249	28.2203	108
5.05061	33.5568	321
5.12633	38.542	428
4.24733	25.0076	228
4.76894	33.184	247
4.35425	28.9136	243
4.91039	32.4191	117
5.99812	40.547	199
4.25985	31.3135	235
4.7351	37.1177	166
6.87878	48.9731	395
4.41421	33.7626	151
3.58924	24.3981	192
5.39201	38.1063	192
4.41221	26.2546	82
5.05237	33.4319	196
4.48689	29.6287	229
5.00097	32.8075	200
4.21637	29.4656	115
4.47983	33.6327	243
4.12601	27.2526	145
4.24159	33.0541	499
3.60373	24.2121	448
4.02848	30.083	187
4.00524	33.3069	255
5.16947	34.9056	120
4.95887	38.2082	101
3.98931	23.6264	170
3.89923	20.513	67
5.50796	38.812	182
4.32838	30.388	305
4.67631	31.0358	88
4.50406	31.3067	167
4.12119	22.9202	159
4.46327	31.875	164
5.49129	36.9225	98
3.91687	27.5892	405
3.91941	25.9385	64
6.31048	39.3217	328
4.79675	30.4864	100
4.36434	29.9454	148
5.03689	40.6023	190
4.0366	24.3316	203
3.90781	22.6664	156
4.58148	34.5871	229
3.97601	29.0878	146
4.03236	20.1967	69
4.15363	29.8531	223
4.81491	30.901	153
4.05283	35.5221	193
4.038	26.1329	94
4.57411	26.0974	149
5.05448	30.136	140
3.90563	25.1917	83
4.30381	22.7692	106
6.39182	40.9657	302
4.04945	28.6018	194
4.12993	23.4424	229
4.14789	32.2243	71
6.20391	37.3728	142
4.65311	35.4147	453
4.54059	36.5646	490
4.43258	31.7628	155
5.0246	34.812	473
4.81477	31.2265	145
4.61632	31.4063	173
4.85238	41.0448	228
5.51729	42.6353	428
4.11187	31.858	175
3.72514	25.983	314
4.48253	28.8929	76
5.49013	36.9655	172
4.45134	32.1197	99
5.65115	36.7868	143
4.18544	34.7985	134
3.83583	21.9644	86
5.43095	42.9704	419
4.81243	39.9211	239
4.43106	28.4988	150
3.69804	26.3776	134
4.04623	26.4411	70
4.54756	28.4967	161
3.78826	21.5821	98
5.09558	31.3967	196
3.87022	29.1214	107
5.36475	37.4731	150
6.49187	43.4836	180
4.43131	27.2023	147
4.53377	30.3967	146
6.20852	33.2353	231
4.00725	20.7027	62
4.54944	36.3726	145
3.81613	19.8787	130
4.11082	29.0821	129
4.66183	29.7064	120
5.02997	26.6603	93
5.10359	32.1837	181
5.26906	31.9343	153
6.60577	46.1908	316
