length	config	time
5.24446	25.2148	94
5.58753	25.0871	114
4.93073	28.1653	227
6.06287	31.1464	129
5.28044	21.131	83
7.25424	35.186	617
4.98411	21.2762	68
5.67302	23.4795	141
5.85026	28.4503	171
7.22612	30.8101	273
5.55155	24.0821	75
5.6708	36.195	220
5.06489	21.714	283
5.4167	24.1753	96
5.90702	22.9275	114
5.21901	25.9206	105
6.25204	30.7598	204
6.40286	31.8685	225
5.35618	20.7988	49
6.28711	27.442	114
6.50395	25.1915	145
4.64528	22.6768	138
4.94547	25.7146	233
5.70578	28.2826	166
5.43012	29.3197	166
6.10049	27.424	219
5.42053	32.9641	184
6.06677	30.0484	160
6.02954	22.9561	326
5.08287	22.7261	124
5.90746	39.2794	408
6.33859	34.275	348
6.35139	23.6902	203
5.70765	26.2034	175
5.07489	23.5072	103
5.30678	25.4955	147
7.5221	32.2178	123
6.16641	30.0785	174
5.15989	20.0478	53
5.53949	22.8609	144
5.25488	25.8386	214
5.12439	22.5354	108
5.13148	23.0411	170
6.14097	28.0482	140
5.56894	27.1254	190
7.6807	34.7578	278
5.08501	22.7926	71
5.44538	23.7936	107
5.0804	21.6936	92
6.1431	27.0087	124
5.9761	25.5299	98
6.35988	28.2214	259
6.17793	31.35	305
5.59376	26.5782	89
5.59557	23.8717	85
5.08456	20.8824	69
5.86231	28.9546	167
5.25304	24.5392	136
6.38845	30.7403	147
5.37856	23.2956	119
6.24072	28.2133	167
5.09143	22.5456	94
5.8659	32.8581	443
7.0765	33.408	332
6.01295	23.3008	386
5.88287	28.7431	134
5.12389	21.5983	45
5.24009	23.5741	132
5.6782	21.7296	81
5.02324	22.2645	94
5.22867	22.1923	115
6.10746	30.5209	174
5.94152	30.2345	105
5.14866	21.8627	105
5.29502	30.2233	155
6.39989	32.9035	720
5.40614	26.7084	130
4.73094	21.5588	200
5.19264	21.993	69
5.63717	21.8942	281
6.64714	26.0324	108
5.63318	24.0318	66
6.05158	31.3729	261
5.06427	20.4819	88
5.37802	25.4767	107
5.67952	25.6546	104
5.59956	27.7598	142
5.3138	26.7047	141
6.71535	30.5244	274
5.47563	23.9131	92
5.7076	27.167	680
5.38992	29.5535	341
5.6318	27.0031	123
5.16062	19.9672	67
5.06158	27.5215	134
5.51761	29.5841	216
5.71944	26.807	197
6.14297	26.0567	147
5.3403	29.5043	215
5.396	24.383	97
